baseline,failed_cnt,rule_m_correct,rule_on_correct,rule_ov_correct,exmap_tp,exmap_tn,exmap_fp,exmap_fn,exmap_precision,exmap_recall,exmap_f1,exmap_accuracy,m_all_tp,m_all_fp,m_all_fn,on_all_tp,on_all_fp,on_all_fn,ov_all_tp,ov_all_fp,ov_all_fn,m_macro_precision,m_macro_recall,m_macro_f1,on_macro_precision,on_macro_recall,on_macro_f1,ov_macro_precision,ov_macro_recall,ov_macro_f1,m_micro_precision,m_micro_recall,m_micro_f1,on_micro_precision,on_micro_recall,on_micro_f1,ov_micro_precision,ov_micro_recall,ov_micro_f1
3.5_empty,0,9,7,4,19,14,3,32,0.8636363636363636,0.37254901960784315,0.5205479452054794,0.4852941176470588,14,9,17,11,12,20,5,18,26,0.6363636363636364,0.5015151515151515,0.5378787878787878,0.5,0.40151515151515144,0.4318181818181818,0.22727272727272727,0.20454545454545456,0.2121212121212121,0.6086956521739131,0.45161290322580644,0.5185185185185185,0.4782608695652174,0.3548387096774194,0.40740740740740744,0.21739130434782608,0.16129032258064516,0.18518518518518517
3.5_name,0,3,2,2,3,17,0,48,1.0,0.058823529411764705,0.1111111111111111,0.29411764705882354,3,0,0,2,1,1,2,1,1,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
3.5_name_desc,0,11,7,4,25,11,6,26,0.8064516129032258,0.49019607843137253,0.6097560975609755,0.5294117647058824,23,36,14,17,42,20,9,50,28,0.5731182795698924,0.5779569892473118,0.5269096494902946,0.4118279569892473,0.40591397849462363,0.3634687892752409,0.21290322580645157,0.25268817204301075,0.1978773914257785,0.3898305084745763,0.6216216216216216,0.4791666666666667,0.288135593220339,0.4594594594594595,0.35416666666666663,0.15254237288135594,0.24324324324324326,0.18750000000000003
3.5_name_desc_mopt,1,12,8,4,23,12,5,28,0.8214285714285714,0.45098039215686275,0.5822784810126583,0.5147058823529411,17,24,20,13,28,24,5,36,32,0.5238095238095238,0.511904761904762,0.5023809523809525,0.38095238095238093,0.369047619047619,0.3595238095238095,0.1547619047619048,0.16071428571428573,0.15714285714285717,0.4146341463414634,0.4594594594594595,0.4358974358974359,0.3170731707317073,0.35135135135135137,0.33333333333333337,0.12195121951219512,0.13513513513513514,0.1282051282051282
3.5_name_sdesc,0,13,9,5,28,9,8,23,0.7777777777777778,0.5490196078431373,0.6436781609195402,0.5441176470588235,23,15,23,19,19,27,10,28,36,0.6111111111111112,0.4731481481481481,0.512962962962963,0.5,0.36203703703703705,0.4018518518518518,0.25,0.19907407407407407,0.21666666666666667,0.6052631578947368,0.5,0.5476190476190477,0.5,0.41304347826086957,0.45238095238095233,0.2631578947368421,0.21739130434782608,0.23809523809523808
3.5_name_sdesc_mopt,0,10,9,5,51,0,17,0,0.75,1.0,0.8571428571428571,0.75,14,56,67,13,57,68,6,64,75,0.20588235294117646,0.17401960784313728,0.1838235294117647,0.19117647058823528,0.15931372549019607,0.1691176470588235,0.08823529411764706,0.08088235294117647,0.08333333333333333,0.2,0.1728395061728395,0.18543046357615892,0.18571428571428572,0.16049382716049382,0.17218543046357615,0.08571428571428572,0.07407407407407407,0.07947019867549669
3.5_name_url,0,24,18,14,50,0,17,1,0.746268656716418,0.9803921568627451,0.847457627118644,0.7352941176470589,36,33,44,30,39,50,19,50,61,0.5176767676767676,0.43611111111111106,0.45988455988455995,0.42676767676767674,0.3452020202020202,0.36897546897546907,0.2676767676767676,0.24494949494949492,0.2525252525252525,0.5217391304347826,0.45,0.4832214765100671,0.43478260869565216,0.375,0.4026845637583893,0.2753623188405797,0.2375,0.2550335570469799
3.5_name_url_sdesc,0,15,13,7,51,1,16,0,0.7611940298507462,1.0,0.864406779661017,0.7647058823529411,25,45,56,21,49,60,11,59,70,0.373134328358209,0.2853233830845771,0.309452736318408,0.31343283582089554,0.24502487562189057,0.2646766169154228,0.16417910447761194,0.13184079601990048,0.1417910447761194,0.35714285714285715,0.30864197530864196,0.3311258278145695,0.3,0.25925925925925924,0.2781456953642384,0.15714285714285714,0.13580246913580246,0.1456953642384106
4o_empty,0,8,7,4,17,12,5,34,0.7727272727272727,0.3333333333333333,0.4657534246575343,0.4264705882352941,13,9,18,11,11,20,6,16,25,0.5909090909090909,0.4446969696969697,0.4803030303030303,0.5,0.3901515151515151,0.41969696969696973,0.2727272727272727,0.22727272727272727,0.2424242424242424,0.5909090909090909,0.41935483870967744,0.4905660377358491,0.5,0.3548387096774194,0.41509433962264153,0.2727272727272727,0.1935483870967742,0.22641509433962262
4o_name,0,3,2,2,3,17,0,48,1.0,0.058823529411764705,0.1111111111111111,0.29411764705882354,3,0,0,2,1,1,2,1,1,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
