baseline,failed_cnt,rule_m_correct,rule_on_correct,rule_ov_correct,exmap_tp,exmap_tn,exmap_fp,exmap_fn,exmap_precision,exmap_recall,exmap_f1,exmap_accuracy,m_all_tp,m_all_fp,m_all_fn,on_all_tp,on_all_fp,on_all_fn,ov_all_tp,ov_all_fp,ov_all_fn,m_macro_precision,m_macro_recall,m_macro_f1,on_macro_precision,on_macro_recall,on_macro_f1,ov_macro_precision,ov_macro_recall,ov_macro_f1,m_micro_precision,m_micro_recall,m_micro_f1,on_micro_precision,on_micro_recall,on_micro_f1,ov_micro_precision,ov_micro_recall,ov_micro_f1
3.5_empty,0,8,3,6,14,15,2,37,0.875,0.27450980392156865,0.4179104477611941,0.4264705882352941,11,3,11,4,10,18,7,7,15,0.7857142857142857,0.6452380952380953,0.6785714285714286,0.2857142857142857,0.2380952380952381,0.25,0.5,0.4642857142857143,0.4761904761904762,0.7857142857142857,0.5,0.6111111111111112,0.2857142857142857,0.18181818181818182,0.2222222222222222,0.5,0.3181818181818182,0.3888888888888889
3.5_name,0,2,1,1,2,17,0,49,1.0,0.0392156862745098,0.07547169811320754,0.27941176470588236,2,0,0,1,1,1,1,1,1,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
3.5_name_desc,0,11,7,4,25,11,6,26,0.8064516129032258,0.49019607843137253,0.6097560975609755,0.5294117647058824,23,22,14,15,30,22,10,35,27,0.7106666666666664,0.7166666666666666,0.6533679653679653,0.444,0.44666666666666666,0.41260606060606064,0.284,0.3533333333333333,0.2720346320346321,0.5111111111111111,0.6216216216216216,0.5609756097560976,0.3333333333333333,0.40540540540540543,0.36585365853658536,0.2222222222222222,0.2702702702702703,0.24390243902439024
3.5_name_desc_mopt,1,12,12,5,23,12,5,28,0.8214285714285714,0.45098039215686275,0.5822784810126583,0.5147058823529411,17,12,20,17,12,20,6,23,31,0.6376811594202899,0.6231884057971014,0.6115942028985508,0.6376811594202899,0.6231884057971014,0.6115942028985508,0.23188405797101452,0.2391304347826087,0.23478260869565218,0.5862068965517241,0.4594594594594595,0.5151515151515151,0.5862068965517241,0.4594594594594595,0.5151515151515151,0.20689655172413793,0.16216216216216217,0.18181818181818182
3.5_name_sdesc,1,11,5,6,24,7,10,27,0.7058823529411765,0.47058823529411764,0.5647058823529412,0.45588235294117646,20,3,20,10,13,30,9,14,31,0.8333333333333334,0.6125000000000002,0.673611111111111,0.4166666666666667,0.3055555555555556,0.34027777777777773,0.375,0.3125,0.3333333333333333,0.8695652173913043,0.5,0.634920634920635,0.43478260869565216,0.25,0.3174603174603175,0.391304347826087,0.225,0.2857142857142857
3.5_name_sdesc_mopt,1,11,10,6,51,0,17,0,0.75,1.0,0.8571428571428571,0.75,14,37,67,13,38,68,7,44,74,0.27450980392156865,0.24183006535947713,0.25163398692810457,0.2549019607843137,0.22222222222222224,0.23202614379084965,0.13725490196078433,0.12745098039215685,0.130718954248366,0.27450980392156865,0.1728395061728395,0.21212121212121213,0.2549019607843137,0.16049382716049382,0.19696969696969693,0.13725490196078433,0.08641975308641975,0.10606060606060606
3.5_name_url,0,23,9,16,50,0,17,1,0.746268656716418,0.9803921568627451,0.847457627118644,0.7352941176470589,37,15,43,14,38,66,21,31,59,0.71,0.578,0.6107619047619048,0.26,0.21466666666666667,0.2280952380952381,0.42,0.36666666666666664,0.3833333333333333,0.7115384615384616,0.4625,0.5606060606060607,0.2692307692307692,0.175,0.2121212121212121,0.40384615384615385,0.2625,0.3181818181818182
3.5_name_url_sdesc,1,15,11,9,51,0,17,0,0.75,1.0,0.8571428571428571,0.75,26,27,55,15,38,66,14,39,67,0.5,0.3944444444444444,0.41960784313725497,0.29411764705882354,0.2549019607843137,0.2679738562091503,0.27450980392156865,0.22222222222222224,0.23856209150326793,0.49056603773584906,0.32098765432098764,0.3880597014925373,0.2830188679245283,0.18518518518518517,0.22388059701492538,0.2641509433962264,0.1728395061728395,0.208955223880597
4o_empty,0,21,14,14,46,3,14,5,0.7666666666666667,0.9019607843137255,0.8288288288288289,0.7205882352941176,44,40,29,35,49,38,23,61,50,0.6609213250517598,0.7278985507246377,0.6601449275362318,0.5159937888198758,0.5684782608695652,0.5115942028985507,0.394927536231884,0.4094202898550725,0.39516908212560387,0.5238095238095238,0.6027397260273972,0.5605095541401273,0.4166666666666667,0.4794520547945205,0.445859872611465,0.27380952380952384,0.3150684931506849,0.2929936305732484
4o_name,1,29,17,16,51,1,16,0,0.7611940298507462,1.0,0.864406779661017,0.7647058823529411,59,34,22,43,50,38,30,63,51,0.777325289089995,0.8284313725490197,0.7732181761593525,0.5452991452991454,0.5816993464052288,0.5379240585122937,0.44248366013071894,0.47385620915032683,0.4490196078431372,0.6344086021505376,0.7283950617283951,0.6781609195402298,0.46236559139784944,0.5308641975308642,0.4942528735632184,0.3225806451612903,0.37037037037037035,0.3448275862068965
