baseline              ,failed_cnt ,m_acc          ,on_acc         ,ov_acc         ,exmap_tp ,exmap_tn ,exmap_fp ,exmap_fn ,exmap_precision ,exmap_recall ,exmap_f1 ,exmap_accuracy ,m_all_tp ,m_all_fp ,m_all_fn ,on_all_tp ,on_all_fp ,on_all_fn ,ov_all_tp ,ov_all_fp ,ov_all_fn ,m_micro_precision ,m_micro_recall ,m_micro_f1 ,on_micro_precision ,on_micro_recall ,on_micro_f1 ,ov_micro_precision ,ov_micro_recall ,ov_micro_f1
4o_empty              ,         1 ,"35.29, 24/68" ,"17.65, 12/68" ,"27.94, 19/68" ,      47 ,       3 ,      11 ,       7 ,          81.03 ,       87.04 ,   83.93 ,         73.53 ,      41 ,      63 ,      33 ,       25 ,       79 ,       49 ,       27 ,       77 ,       47 ,            39.42 ,         55.41 ,     46.07 ,             24.04 ,          33.78 ,      28.09 ,             25.96 ,          36.49 ,      30.34
4o_name               ,         1 ,"38.24, 26/68" ,"19.12, 13/68" ,"25.00, 17/68" ,      53 ,       2 ,      12 ,       1 ,          81.54 ,       98.15 ,   89.08 ,         80.88 ,      56 ,     271 ,      18 ,       36 ,      291 ,       38 ,       38 ,      289 ,       36 ,            17.13 ,         75.68 ,     27.93 ,             11.01 ,          48.65 ,      17.96 ,             11.62 ,          51.35 ,      18.95
4o_name_desc          ,         2 ,"42.65, 29/68" ,"26.47, 18/68" ,"25.00, 17/68" ,      53 ,       1 ,      13 ,       1 ,          80.30 ,       98.15 ,   88.33 ,         79.41 ,      58 ,     156 ,      16 ,       45 ,      169 ,       29 ,       38 ,      176 ,       36 ,            27.10 ,         78.38 ,     40.28 ,             21.03 ,          60.81 ,      31.25 ,             17.76 ,          51.35 ,      26.39
4o_name_desc_mopt     ,         1 ,"47.06, 32/68" ,"47.06, 32/68" ,"33.82, 23/68" ,      52 ,       3 ,      11 ,       2 ,          82.54 ,       96.30 ,   88.89 ,         80.88 ,      60 ,     188 ,      14 ,       59 ,      189 ,       15 ,       45 ,      203 ,       29 ,            24.19 ,         81.08 ,     37.27 ,             23.79 ,          79.73 ,      36.65 ,             18.15 ,          60.81 ,      27.95
4o_name_sdesc         ,         1 ,"35.29, 24/68" ,"26.47, 18/68" ,"25.00, 17/68" ,      53 ,       1 ,      13 ,       1 ,          80.30 ,       98.15 ,   88.33 ,         79.41 ,      56 ,     272 ,      18 ,       45 ,      283 ,       29 ,       36 ,      292 ,       38 ,            17.07 ,         75.68 ,     27.86 ,             13.72 ,          60.81 ,      22.39 ,             10.98 ,          48.65 ,      17.91
4o_name_sdesc_mopt    ,         2 ,"50.00, 34/68" ,"50.00, 34/68" ,"25.00, 17/68" ,      53 ,       1 ,      13 ,       1 ,          80.30 ,       98.15 ,   88.33 ,         79.41 ,      60 ,      91 ,      14 ,       59 ,       92 ,       15 ,       33 ,      118 ,       41 ,            39.74 ,         81.08 ,     53.33 ,             39.07 ,          79.73 ,      52.44 ,             21.85 ,          44.59 ,      29.33
4o_name_url           ,         1 ,"41.18, 28/68" ,"27.94, 19/68" ,"26.47, 18/68" ,      53 ,       1 ,      13 ,       1 ,          80.30 ,       98.15 ,   88.33 ,         79.41 ,      51 ,     251 ,      23 ,       38 ,      264 ,       36 ,       30 ,      272 ,       44 ,            16.89 ,         68.92 ,     27.13 ,             12.58 ,          51.35 ,      20.21 ,              9.93 ,          40.54 ,      15.96
4o_name_url_sdesc     ,         0 ,"39.71, 27/68" ,"29.41, 20/68" ,"29.41, 20/68" ,      53 ,       1 ,      13 ,       1 ,          80.30 ,       98.15 ,   88.33 ,         79.41 ,      59 ,     440 ,      15 ,       48 ,      451 ,       26 ,       39 ,      460 ,       35 ,            11.82 ,         79.73 ,     20.59 ,              9.62 ,          64.86 ,      16.75 ,              7.82 ,          52.70 ,      13.61
4o_rag_name_desc      ,         2 ,"13.24, 9/68"  ,"10.29, 7/68"  ,"7.35, 5/68"   ,      53 ,       1 ,      13 ,       1 ,          80.30 ,       98.15 ,   88.33 ,         79.41 ,      55 ,     166 ,      19 ,       47 ,      174 ,       27 ,       37 ,      184 ,       37 ,            24.89 ,         74.32 ,     37.29 ,             21.27 ,          63.51 ,      31.86 ,             16.74 ,          50.00 ,      25.08
4o_rag_name_desc_mopt ,         1 ,"22.06, 15/68" ,"22.06, 15/68" ,"10.29, 7/68"  ,      54 ,       1 ,      13 ,       0 ,          80.60 ,      100.00 ,   89.26 ,         80.88 ,      55 ,     115 ,      19 ,       55 ,      115 ,       19 ,       27 ,      143 ,       47 ,            32.35 ,         74.32 ,     45.08 ,             32.35 ,          74.32 ,      45.08 ,             15.88 ,          36.49 ,      22.13
