baseline,failed_cnt,rule_m_correct,rule_on_correct,rule_ov_correct,exmap_tp,exmap_tn,exmap_fp,exmap_fn,exmap_precision,exmap_recall,exmap_f1,exmap_accuracy,m_all_tp,m_all_fp,m_all_fn,on_all_tp,on_all_fp,on_all_fn,ov_all_tp,ov_all_fp,ov_all_fn,m_macro_precision,m_macro_recall,m_macro_f1,on_macro_precision,on_macro_recall,on_macro_f1,ov_macro_precision,ov_macro_recall,ov_macro_f1,m_micro_precision,m_micro_recall,m_micro_f1,on_micro_precision,on_micro_recall,on_micro_f1,ov_micro_precision,ov_micro_recall,ov_micro_f1
gpt-4o_empty,0,52,45,45,65,31,101,2,0.391566265,0.970149254,0.557939914,0.48241206,64,545,26,37,572,53,35,574,55,0.205832346,0.297371032,0.228766026,0.124629372,0.178571429,0.138680301,0.118676991,0.169642857,0.131735857,0.105090312,0.711111111,0.183118741,0.060755337,0.411111111,0.105865522,0.057471264,0.388888889,0.100143062
gpt-4o_name,0,37,23,23,67,12,119,0,0.360215054,1,0.529644269,0.398989899,78,2252,12,40,2290,50,37,2293,53,0.21738584,0.323252688,0.24526445,0.110594811,0.163306452,0.124490979,0.102530295,0.152553763,0.115530406,0.033476395,0.866666667,0.06446281,0.017167382,0.444444444,0.033057851,0.015879828,0.411111111,0.030578512
gpt-4o_name_sdesc,2,43,30,30,67,17,115,0,0.368131868,1,0.53815261,0.422110553,77,2409,13,40,2446,50,38,2448,52,0.228172423,0.328983516,0.25706258,0.117824437,0.165521978,0.131002926,0.112329932,0.160027473,0.12550842,0.030973451,0.855555556,0.059782609,0.016090105,0.444444444,0.031055901,0.015285599,0.422222222,0.029503106
gpt-4o_name_url,4,41,27,27,67,14,118,0,0.362162162,1,0.531746032,0.407035176,78,1727,12,41,1764,49,39,1766,51,0.23024024,0.325,0.257799228,0.122072072,0.173648649,0.136889747,0.116666667,0.165540541,0.130583441,0.043213296,0.866666667,0.0823219,0.022714681,0.455555556,0.043271768,0.021606648,0.433333333,0.04116095
gpt-4o_name_url_sdesc,2,48,30,30,67,15,117,0,0.364130435,1,0.533864542,0.412060302,79,2010,11,41,2048,49,38,2051,52,0.248671498,0.329483696,0.271649312,0.124275362,0.169157609,0.136092589,0.116123188,0.158288043,0.127034618,0.037817137,0.877777778,0.072510326,0.019626616,0.455555556,0.037631941,0.018190522,0.422222222,0.034878385
gpt-4o_name_desc,2,66,47,47,66,28,104,1,0.388235294,0.985074627,0.556962025,0.472361809,73,473,17,40,506,50,38,508,52,0.29005848,0.335282651,0.301378446,0.153996101,0.180555556,0.161046134,0.148148148,0.171783626,0.154223522,0.133699634,0.811111111,0.229559748,0.073260073,0.444444444,0.125786164,0.06959707,0.422222222,0.119496855
gpt-4o_rag_name_desc,0,24,14,14,67,4,128,0,0.343589744,1,0.511450382,0.35678392,81,1225,9,47,1259,43,43,1263,47,0.191823049,0.326495726,0.224340816,0.104110391,0.185897436,0.12244889,0.094708682,0.167948718,0.110141198,0.06202144,0.9,0.116045845,0.035987749,0.522222222,0.067335244,0.032924962,0.477777778,0.061604585
gpt-4o_rag_name_desc_opt,1,30,19,18,67,6,126,0,0.347150259,1,0.515384615,0.366834171,78,1355,12,42,1391,48,39,1394,51,0.195877266,0.316925734,0.221090805,0.109648474,0.178108808,0.124500086,0.099285779,0.16515544,0.113273834,0.054431263,0.866666667,0.102429416,0.029309142,0.466666667,0.055154301,0.027215632,0.433333333,0.051214708
gpt-4o_rag_name_sdesc_opt,2,25,11,10,67,8,124,0,0.35078534,1,0.519379845,0.376884422,73,1313,17,24,1362,66,21,1365,69,0.166953867,0.304537522,0.19698594,0.05113438,0.104057592,0.063974071,0.041535777,0.088350785,0.052630267,0.052669553,0.811111111,0.098915989,0.017316017,0.266666667,0.032520325,0.015151515,0.233333333,0.028455285
gpt-4o_extracted_options_rag_name_desc_opt,2,29,17,16,67,7,125,0,0.348958333,1,0.517374517,0.371859296,76,1389,14,40,1425,50,36,1429,54,0.188122832,0.312717014,0.213724422,0.096872571,0.170572917,0.11160802,0.084719793,0.154947917,0.098239964,0.051877133,0.844444444,0.097749196,0.027303754,0.444444444,0.051446945,0.024573379,0.4,0.046302251
gpt-4o_extracted_options_rag_name_sdesc_opt,1,24,11,10,67,7,125,0,0.348958333,1,0.517374517,0.371859296,73,1380,17,28,1425,62,25,1428,65,0.162834373,0.302951389,0.192636371,0.05419115,0.116536458,0.067509921,0.044642539,0.103515625,0.057093254,0.050240881,0.811111111,0.094620868,0.019270475,0.311111111,0.036292936,0.017205781,0.277777778,0.032404407
gpt-4o_extracted_options_name_sdesc_opt,20,77,57,57,57,46,86,10,0.398601399,0.850746269,0.542857143,0.51758794,60,8164,30,26,8198,64,26,8198,64,0.260395574,0.314270153,0.273529107,0.109114016,0.147875817,0.120485711,0.109114016,0.147875817,0.120485711,0.00729572,0.666666667,0.014433486,0.003161479,0.288888889,0.00625451,0.003161479,0.288888889,0.00625451
