title,belongs to,description,example,appendix
Go language versions,Go language versions,"The Go upgrade documentation provides an overview of how GitLab manages and ships Go binary support.
If a GitLab component requires a newer version of Go, follow the upgrade process to ensure no customer, team, or component is adversely impacted.
Sometimes, individual projects must also manage builds with multiple versions of Go .",,
Dependency Management,Dependency Management,"Go uses a source-based strategy for dependency management. Dependencies are downloaded as source from their source repository. This differs from the more common artifact-based strategy where dependencies are downloaded as artifacts from a package repository that is separate from the dependency’s source repository.
Go did not have first-class support for version management prior to 1.11. That version introduced Go modules and the use of semantic versioning. Go 1.12 introduced module proxies, which can serve as an intermediate between clients and source version control systems, and checksum databases, which can be used to verify the integrity of dependency downloads.
See Dependency Management in Go for more details.",,
Code Review,Code Review,"We follow the common principles of Go Code Review Comments .
Reviewers and maintainers should pay attention to:
`defer` functions: ensure the presence when needed, and after `err` check. 
Inject dependencies as parameters. 
Void structs when marshaling to JSON (generates `null` instead of `[]` ).",,
Security,Code Review/Security,"Security is our top priority at GitLab. During code reviews, we must take care of possible security breaches in our code:
XSS when using text/template 
CSRF Protection using Gorilla 
Use a Go version without known vulnerabilities 
Don’t leak secret tokens 
SQL injections
Remember to run SAST and Dependency Scanning on your project (or at least the gosec
 
 analyzer ), and to follow our Security requirements .
Web servers can take advantages of middlewares like Secure .",,
Finding a reviewer,Code Review/Finding a reviewer,"Many of our projects are too small to have full-time maintainers. That’s why we have a shared pool of Go reviewers at GitLab. To find a reviewer, use the “Go” section of the “GitLab” project on the Engineering Projects page in the handbook.
To add yourself to this list, add the following to your profile in the team.yml file and ask your manager to review and merge.","projects:
  gitlab: reviewer go
",
Code style and format,Code style and format,"Avoid global variables, even in packages. By doing so you introduce side effects if the package is included multiple times. 
Use `goimports` before committing. goimports is a tool that automatically formats Go source code using Gofmt , in addition to formatting import lines, adding missing ones and removing unreferenced ones. 
Most editors/IDEs allow you to run commands before/after saving a file, you can set it up to run `goimports` so that it’s applied to every file when saving. 
Place private methods below the first caller method in the source file.",,
Automatic linting,Code style and format/Automatic linting,"caution 
The use of `registry.gitlab.com/gitlab-org/gitlab-build-images:golangci-lint-alpine` has been deprecated as of 16.10 .
Use the upstream version of golangci-lint . See the list of linters enabled/disabled by default .
Go projects should include this GitLab CI/CD job:","variables:
  GOLANGCI_LINT_VERSION: 'v1.56.2'
lint:
  image: golangci/golangci-lint:$GOLANGCI_LINT_VERSION
  stage: test
  script:
    # Write the code coverage report to gl-code-quality-report.json
    # and print linting issues to stdout in the format: path/to/file:line description
    # remove `--issues-exit-code 0` or set to non-zero to fail the job if linting issues are detected
    - golangci-lint run --issues-exit-code 0 --print-issued-lines=false --out-format code-climate:gl-code-quality-report.json,line-number
  artifacts:
    reports:
      codequality: gl-code-quality-report.json
    paths:
      - gl-code-quality-report.json
","Including a `.golangci.yml` in the root directory of the project allows for configuration of `golangci-lint` . All options for `golangci-lint` are listed in this example .
Once recursive includes become available, you can share job templates like this analyzer .
Go GitLab linter plugins are maintained in the gitlab-org/language-tools/go/linters namespace."
Help text style guide,Code style and format/Help text style guide,"If your Go project produces help text for users, consider following the advice given in the Help text style guide in the `gitaly` project.",,
Dependencies,Dependencies,"Dependencies should be kept to the minimum. The introduction of a new dependency should be argued in the merge request, as per our Approval Guidelines . Dependency Scanning should be activated on all projects to ensure new dependencies security status and license compatibility.",,
Modules,Dependencies/Modules,"In Go 1.11 and later, a standard dependency system is available behind the name Go Modules . It provides a way to define and lock dependencies for reproducible builds. It should be used whenever possible.
When Go Modules are in use, there should not be a `vendor/` directory. Instead, Go automatically downloads dependencies when they are needed to build the project. This is in line with how dependencies are handled with Bundler in Ruby projects, and makes merge requests easier to review.
In some cases, such as building a Go project for it to act as a dependency of a CI run for another project, removing the `vendor/` directory means the code must be downloaded repeatedly, which can lead to intermittent problems due to rate limiting or network failures. In these circumstances, you should cache the downloaded code between .
There was a bug on modules checksums in Go versions earlier than v1.11.4, so make sure to use at least this version to avoid `checksummismatch` errors.",,
