title,belongs to,description,example,appendix
Vision,Vision,"We want the GraphQL API to be the primary means of interacting programmatically with GitLab. To achieve this, it needs full coverage - anything possible in the REST API should also be possible in the GraphQL API.
To help us meet this vision, the frontend should use GraphQL in preference to the REST API for new features. The GraphQL API is versionless .
There are no plans to deprecate the REST API. To reduce the technical burden of supporting two APIs in parallel, they should share implementations as much as possible.",,
How GitLab implements GraphQL,How GitLab implements GraphQL,"We use the GraphQL Ruby gem written by Robert Mosolgo . In addition, we have a subscription to GraphQL Pro . For details see GraphQL Pro subscription .
All GraphQL queries are directed to a single endpoint ( app/controllers/graphql_controller.rb#execute ), which is exposed as an API endpoint at `/api/graphql` .",,
Deep Dive,Deep Dive,"In March 2019, Nick Thomas hosted a Deep Dive (GitLab team members only: `https://gitlab.com/gitlab-org/create-stage/issues/1` ) on the GitLab GraphQL API to share domain-specific knowledge with anyone who may work in this part of the codebase in the future. You can find the 
recording on YouTube , and the slides on Google Slides and in PDF . Everything covered in this deep dive was accurate as of GitLab 11.9, and while specific details may have changed after that release, it should still serve as a good introduction.",,
GraphiQL,GraphiQL,"GraphiQL is an interactive GraphQL API explorer where you can play around with existing queries. You can access it in any GitLab environment on `https://<your-gitlab-site.com>/-/graphql-explorer` . For example, the one for GitLab.com .",,
Reviewing merge requests with GraphQL changes,Reviewing merge requests with GraphQL changes,"The GraphQL framework has some specific gotchas to be aware of, and domain expertise is required to ensure they are satisfied.
If you are asked to review a merge request that modifies any GraphQL files or adds an endpoint, have a look at our GraphQL review guide .",,
Reading GraphQL logs,Reading GraphQL logs,See the Reading GraphQL logs guide for tips on how to inspect logs of GraphQL requests and monitor the performance of your GraphQL queries.,,
Authentication,Authentication,"Authentication happens through the `GraphqlController` , right now this uses the same authentication as the Rails application. So the session can be shared.
It’s also possible to add a `private_token` to the query string, or add a `HTTP_PRIVATE_TOKEN` header.",,
Limits,Limits,Several limits apply to the GraphQL API and some of these can be overridden by developers.,,
Max page size,Limits/Max page size,"By default, connections can only return at most a maximum number of records defined in app/graphql/gitlab_schema.rb per page.
Developers can specify a custom max page size when defining a connection.",,
Max complexity,Limits/Max complexity,"Complexity is explained on our client-facing API page .
Fields default to adding `1` to a query’s complexity score, but developers can specify a custom complexity when defining a field.
The complexity score of a query can itself be queried for .",,
Request timeout,Limits/Request timeout,Requests time out at 30 seconds.,,
