title,belongs to,description,example,appendix
Styles we have no rule for,Styles we have no rule for,"These styles are not backed by a RuboCop rule.
For every style added to this section, link the discussion from the section’s history note to provide context and serve as a reference.",,
Instance variable access using attr_reader,Styles we have no rule for/Instance variable access using attr_reader,"History 
Introduced in GitLab 14.1.
Instance variables can be accessed in a variety of ways in a class:","# public
class Foo
  attr_reader :my_var

  def initialize(my_var)
    @my_var = my_var
  end

  def do_stuff
    puts my_var
  end
end

# private
class Foo
  def initialize(my_var)
    @my_var = my_var
  end

  private

  attr_reader :my_var

  def do_stuff
    puts my_var
  end
end

# direct
class Foo
  def initialize(my_var)
    @my_var = my_var
  end

  private

  def do_stuff
    puts @my_var
  end
end
","Public attributes should only be used if they are accessed outside of the class. There is not a strong opinion on what strategy is used when attributes are only accessed internally, as long as there is consistency in related code."
Newlines style guide,Styles we have no rule for/Newlines style guide,"In addition to the RuboCops `Layout/EmptyLinesAroundMethodBody` and `Cop/LineBreakAroundConditionalBlock` that enforce some newline styles, we have the following guidelines that are not backed by RuboCop.",,
Rule: separate code with newlines only to group together related logic,Styles we have no rule for/Newlines style guide/Rule: separate code with newlines only to group together related logic,,"# bad
def method
  issue = Issue.new

  issue.save

  render json: issue
end

# good
def method
  issue = Issue.new
  issue.save

  render json: issue
end
",
Rule: newline before block,Styles we have no rule for/Newlines style guide/Rule: newline before block,,"# bad
def method
  issue = Issue.new
  if issue.save
    render json: issue
  end
end

# good
def method
  issue = Issue.new

  if issue.save
    render json: issue
  end
end
",
Exception: no need for a newline when code block starts or ends right inside another code block,Styles we have no rule for/Newlines style guide/Rule: newline before block/Exception: no need for a newline when code block starts or ends right inside another code block,,"# bad
def method
  if issue

    if issue.valid?
      issue.save
    end

  end
end

# good
def method
  if issue
    if issue.valid?
      issue.save
    end
  end
end
",
Avoid ActiveRecord callbacks,Avoid ActiveRecord callbacks,"ActiveRecord callbacks allow you to “trigger logic before or after an alteration of an object’s state.”
Use callbacks when no superior alternative exists, but employ them only if you thoroughly understand the reasons for doing so.
When adding new lifecycle events for ActiveRecord objects, it is preferable to add the logic to a service class instead of a callback.",,
Why callbacks should be avoided,Why callbacks should be avoided,"In general, callbacks should be avoided because:
Callbacks are hard to reason about because invocation order is not obvious and they break code narrative. 
Callbacks are harder to locate and navigate because they rely on reflection to trigger rather than being ordinary method calls. 
Callbacks make it difficult to apply changes selectively to an object’s state because changes always trigger the entire callback chain. 
Callbacks trap logic in the ActiveRecord class. This tight coupling encourages fat models that contain too much business logic, which could instead live in service objects that are more reusable, composable, and are easier to test. 
Illegal state transitions of an object can be better enforced through attribute validations. 
Heavy use of callbacks affects factory creation speed. With some classes having hundreds of callbacks, creating an instance of that object for an automated test can be a very slow operation, resulting in slow specs.
Some of these examples are discussed in this video from thoughtbot .
The GitLab codebase relies heavily on callbacks and it is hard to refactor them once added due to invisible dependencies. As a result, this guideline does not call for removing all existing callbacks.",,
When to use callbacks,Why callbacks should be avoided/When to use callbacks,"Callbacks can be used in special cases. Some examples of cases where adding a callback makes sense:
A dependency uses callbacks and we would like to override the callback behavior. 
Incrementing cache counts. 
Data normalization that only relates to data on the current model.",,
Example of moving from a callback to a service,Why callbacks should be avoided/Example of moving from a callback to a service,There is a project with the following basic data model:,"class Project
  has_one :repository
end

class Repository
  belongs_to :project
end
",
