title,belongs to,description,example,appendix
Description,Permissions/Description,"Application permissions are used to determine who can access what and what actions they can perform. For more information about the permission model at GitLab, see the GitLab permissions guide or the user docs on permissions .",,
Impact,Permissions/Impact,"Improper permission handling can have significant impacts on the security of an application. Some situations may reveal sensitive data or allow a malicious actor to perform harmful actions . The overall impact depends heavily on what resources can be accessed or modified improperly.
A common vulnerability when permission checks are missing is called IDOR for Insecure Direct Object References.",,
When to Consider,Permissions/When to Consider,"Each time you implement a new feature/endpoint, whether it is at UI, API or GraphQL level.",,
Mitigations,Permissions/Mitigations,"Start by writing tests around permissions: unit and feature specs should both include tests based around permissions
Fine-grained, nitty-gritty specs for permissions are good: it is ok to be verbose here 
Make assertions based on the actors and objects involved: can a user or group or XYZ perform this action on this object? 
Consider defining them upfront with stakeholders, particularly for the edge cases 
Do not forget abuse cases : write specs that make sure certain things can’t happen 
A lot of specs are making sure things do happen and coverage percentage doesn’t take into account permissions as same piece of code is used. 
Make assertions that certain actors cannot perform actions 
Naming convention to ease auditability: to be defined, for example, a subfolder containing those specific permission tests or a `#permissions` block
Be careful to also test visibility levels 
and not only project access rights.
The HTTP status code returned when an authorization check fails should generally be `404NotFound` to avoid revealing information about whether or not the requested resource exists. `403Forbidden` may be appropriate if you need to display a specific message to the user about why they cannot access the resource. If you are displaying a generic message such as “access denied”, consider returning `404NotFound` instead.
Some example of well implemented access controls and tests:
example1 
example2 
example3
NB: any input from development team is welcome, for example, about RuboCop rules.",,
Anchors / Multi line,Regular Expressions guidelines/Anchors / Multi line,"Unlike other programming languages (for example, Perl or Python) Regular Expressions are matching multi-line by default in Ruby. Consider the following example in Python:","import re
text = ""foo\nbar""
matches = re.findall(""^bar$"",text)
print(matches)
",
Anchors / Multi line,Regular Expressions guidelines/Anchors / Multi line,The Python example will output an empty array ( `[]` ) as the matcher considers the whole string `foo\nbar` including the newline ( `\n` ). In contrast Ruby’s Regular Expression engine acts differently:,"text = ""foo\nbar""
p text.match /^bar$/
","The output of this example is `#<MatchData""bar"">` , as Ruby treats the input `text` line by line. To match the whole string , the Regex anchors `\A` and `\z` should be used."
Impact,Regular Expressions guidelines/Anchors / Multi line/Impact,"This Ruby Regex specialty can have security impact, as often regular expressions are used for validations or to impose restrictions on user-input.",,
Examples,Regular Expressions guidelines/Anchors / Multi line/Examples,"GitLab-specific examples can be found in the following path traversal and open redirect issues.
Another example would be this fictional Ruby on Rails controller:","class PingController < ApplicationController
  def ping
    if params[:ip] =~ /^\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}$/
      render :text => `ping -c 4 #{params[:ip]}`
    else
      render :text => ""Invalid IP""
    end
  end
end
",Here `params[:ip]` should not contain anything else but numbers and dots. However this restriction can be easily bypassed as the Regex anchors `^` and `$` are being used. Ultimately this leads to a shell command injection in `ping-c4#{params[:ip]}` by using newlines in `params[:ip]` .
Mitigation,Regular Expressions guidelines/Anchors / Multi line/Mitigation,In most cases the anchors `\A` for beginning of text and `\z` for end of text should be used instead of `^` and `$` .,,
Denial of Service (ReDoS) / Catastrophic Backtracking,Denial of Service (ReDoS) / Catastrophic Backtracking,"When a regular expression (regex) is used to search for a string and can’t find a match, it may then backtrack to try other possibilities.
For example when the regex `.*!$` matches the string `hello!` , the `.*` first matches the entire string but then the `!` from the regex is unable to match because the character has already been used. In that case, the Ruby regex engine backtracks one character to allow the `!` to match.
ReDoS is an attack in which the attacker knows or controls the regular expression used. The attacker may be able to enter user input that triggers this backtracking behavior in a way that increases execution time by several orders of magnitude.",,
Impact,Denial of Service (ReDoS) / Catastrophic Backtracking/Impact,"The resource, for example Puma, or Sidekiq, can be made to hang as it takes a long time to evaluate the bad regex match. The evaluation time may require manual termination of the resource.",,
