title,belongs to,description,example,appendix
Linting,Linting,"We default to eslint-vue-plugin , with the `plugin:vue/recommended` . Check the rules for more documentation.",,
Basic Rules,Basic Rules,"The service has its own file 
The store has its own file 
Use a function in the bundle file to instantiate the Vue component:","// bad
class {
  init() {
    new Component({})
  }
}

// good
document.addEventListener('DOMContentLoaded', () => new Vue({
  el: '#element',
  components: {
    componentName
  },
  render: createElement => createElement('component-name'),
}));
",
Basic Rules,Basic Rules,Do not use a singleton for the service or the store,"// bad
class Store {
  constructor() {
    if (!this.prototype.singleton) {
      // do something
    }
  }
}

// good
class Store {
  constructor() {
    // do something
  }
}
",
Basic Rules,Basic Rules,"Use `.vue` for Vue templates. Do not use `%template` in HAML. 
Explicitly define data being passed into the Vue app","// bad
return new Vue({
  el: '#element',
  name: 'ComponentNameRoot',
  components: {
    componentName
  },
  provide: {
    ...someDataset
  },
  props: {
    ...anotherDataset
  },
  render: createElement => createElement('component-name'),
}));

// good
const { foobar, barfoo } = someDataset;
const { foo, bar } = anotherDataset;

return new Vue({
  el: '#element',
  name: 'ComponentNameRoot',
  components: {
    componentName
  },
  provide: {
    foobar,
    barfoo
  },
  props: {
    foo,
    bar
  },
  render: createElement => createElement('component-name'),
}));
",
Basic Rules,Basic Rules,"We discourage the use of the spread operator in this specific case in order to keep our codebase explicit, discoverable, and searchable. This applies in any place where we would benefit from the above, such as when initializing Vuex state . The pattern above also enables us to easily parse non scalar values during instantiation.","return new Vue({
  el: '#element',
  name: 'ComponentNameRoot',
  components: {
    componentName
  },
  props: {
    foo,
    bar: parseBoolean(bar)
  },
  render: createElement => createElement('component-name'),
}));
",
Naming,Naming,"Extensions : Use `.vue` extension for Vue components. Do not use `.js` as file extension ( #34371 ). 
Reference Naming : Use PascalCase for their default imports:","// bad
import cardBoard from 'cardBoard.vue'

components: {
  cardBoard,
};

// good
import CardBoard from 'cardBoard.vue'

components: {
  CardBoard,
};
",
Naming,Naming,"Props Naming: Avoid using DOM component prop names. 
Props Naming: Use kebab-case instead of camelCase to provide props in templates.","// bad
<component class=""btn"">

// good
<component css-class=""btn"">

// bad
<component myProp=""prop"" />

// good
<component my-prop=""prop"" />
",
Alignment,Alignment,"Follow these alignment styles for the template method: 
With more than one attribute, all attributes should be on a new line:","// bad
<component v-if=""bar""
    param=""baz"" />

<button class=""btn"">Click me</button>

// good
<component
  v-if=""bar""
  param=""baz""
/>

<button class=""btn"">
  Click me
</button>
",
Alignment,Alignment,The tag can be inline if there is only one attribute:,"// good
  <component bar=""bar"" />

// good
  <component
    bar=""bar""
    />

// bad
 <component
    bar=""bar"" />
",
Quotes,Quotes,"Always use double quotes `""` inside templates and single quotes `'` for all other JS.","// bad
template: `
  <button :class='style'>Button</button>
`

// good
template: `
  <button :class=""style"">Button</button>
`
",
Props,Props,Props should be declared as an object,"// bad
props: ['foo']

// good
props: {
  foo: {
    type: String,
    required: false,
    default: 'bar'
  }
}
",
Props,Props,Required key should always be provided when declaring a prop,"// bad
props: {
  foo: {
    type: String,
  }
}

// good
props: {
  foo: {
    type: String,
    required: false,
    default: 'bar'
  }
}
",
Props,Props,Default key should be provided if the prop is not required. There are some scenarios where we need to check for the existence of the property. On those a default key should not be provided.,"// good
props: {
  foo: {
    type: String,
    required: false,
  }
}

// good
props: {
  foo: {
    type: String,
    required: false,
    default: 'bar'
  }
}

// good
props: {
  foo: {
    type: String,
    required: true
  }
}
",
Data,Data,`data` method should always be a function,"// bad
data: {
  foo: 'foo'
}

// good
data() {
  return {
    foo: 'foo'
  };
}
",
Directives,Directives,Shorthand `@` is preferable over `v-on`,"// bad
<component v-on:click=""eventHandler""/>

// good
<component @click=""eventHandler""/>
",
