rule_name,description,benchmark,gpt_answer,gpt_configuration,valid_config,module_tp,module_fp,module_fn,option_name_tp,option_name_fp,option_name_fn,option_value_tp,option_value_fp,option_value_fn
2.2 File encoding: UTF-8,Source files are encoded in UTF-8 .,,Yes,"<module
******
<module name='PackageDeclaration'/>"",
        ""
******
<module name='FileTabCharacter'>\n  <property name='eachLineIgnored' value='true'/>\n</module>",true,,"PackageDeclaration
FileTabCharacter",,,"PackageDeclaration
FileTabCharacter",,,"PackageDeclaration
FileTabCharacter",
2.3.1 Whitespace characters,"Aside from the line terminator sequence, the ASCII horizontal space character ( 0x20 ) is the only whitespace character that appears anywhere in a source file. This implies that:
 All other whitespace characters in string and character literals are escaped. 
 Tab characters are not used for indentation.","<module name=""Checker"">
  <module name=""FileTabCharacter"">
    <property name=""eachLine"" value=""true""/>
  </module>
</module>",Yes,"<module name='WhitespaceAfter'>
  <property name='allowEmptyMethods' value='false'/>
  <property name='tokens' value='METHOD_DEF, CTOR_DEF, LITERAL_CATCH, LITERAL_TRY, STATIC_INIT, INSTANCE_INIT'/>
  <property name='ignoreInlineDef' value='true'/>
  <property name='allowEmptyType' value='false'/>
</module>
******
<module name='WhitespaceAround'>
  <property name='tokens' value='ASSIGN, BAND, BAND_ASSIGN, BOR, BOR_ASSIGN, BSR, BSR_ASSIGN, BXOR, BXOR_ASSIGN, COLON, COMMA, DIV, DIV_ASSIGN, DO_WHILE, DOT, ELLIPSIS, EQUAL, GE, GT, LAND, LCURLY, LE, LITERAL_ASSERT, LITERAL_CATCH, LITERAL_DO, LITERAL_ELSE, LITERAL_FINALLY, LITERAL_FOR, LITERAL_IF, LITERAL_RETURN, LITERAL_SYNCHRONIZED, LITERAL_TRY, LITERAL_WHILE, LT, MINUS, MINUS_ASSIGN, MOD, MOD_ASSIGN, NOT_EQUAL, PLUS, PLUS_ASSIGN, RCURLY, SL, SLIST, SL_ASSIGN, SR, SR_ASSIGN, STAR, STAR_ASSIGN, METHOD_CALL, LITERAL_NEW, QUESTION, LITERAL_INSTANCEOF, LITERAL_ELSE, LITERAL_THIS, LITERAL_SUPER, LITERAL_SWITCH, LITERAL_CASE, LITERAL_BREAK, LITERAL_CONTINUE, LITERAL_CLASS, LITERAL_INTERFACE, LITERAL_ENUM, LITERAL_PACKAGE, LITERAL_IMPORT, LITERAL_STATIC, LITERAL_TRANSIENT, LITERAL_VOLATILE, LITERAL_PUBLIC, LITERAL_PROTECTED, LITERAL_PRIVATE, LITERAL_ABSTRACT, LITERAL_FINAL, LITERAL_NATIVE, LITERAL_STRICTFP, LITERAL_DEFAULT, LITERAL_SYNCHRONIZED, LITERAL_TRANSIENT, LITERAL_VOLATILE, LITERAL_PUBLIC, LITERAL_PROTECTED, LITERAL_PRIVATE, LITERAL_ABSTRACT, LITERAL_FINAL, LITERAL_NATIVE, LITERAL_STRICTFP'/>
</module>
******
<module name='NewlineAtEndOfFile'/>
<module name='FileTabCharacter'/>",true,FileTabCharacter,"WhitespaceAfter
WhitespaceAround
NewlineAtEndOfFile",,,"WhitespaceAfter
WhitespaceAround
NewlineAtEndOfFile
FileTabCharacter",FileTabCharacter,,"WhitespaceAfter
WhitespaceAround
NewlineAtEndOfFile
FileTabCharacter",FileTabCharacter
2.3.2 Special escape sequences,"For any character that has a special escape sequence ( `\b` , `\t` , `\n` , `\f` , `\r` , `\""` , `\'` and `\\` ), that sequence is used rather than the corresponding octal (e.g. `\012` ) or Unicode (e.g. `\u000a` ) escape.","<module name=""Checker"">
	<module name=""IllegalTokenText"">
		<property name=""format"" value=""\\u00(09|0(a|A)|0(c|C)|0(d|D)|22|27|5(C|c))|\\(0(10|11|12|14|15|42|47)|134)""/>
		<property name=""tokens"" value=""STRING_LITERAL, CHAR_LITERAL""/>
	</module>
</module>",Yes,"<module name='RegexpSinglelineJava'>
******
  <property name='format' value='(\b|\t|\n|\f|\r|\""|\'|\\)'/>
******
  <property name='message' value='Use special escape sequences for characters.'/>
******
</module>",false,,,IllegalTokenText,,,IllegalTokenText,,,IllegalTokenText
2.3.3 Non-ASCII characters,"For the remaining non-ASCII characters, either the actual Unicode character (e.g. `∞` ) or the equivalent Unicode escape (e.g. `\u221e` ) is used. The choice depends only on which makes the code easier to read and understand , although Unicode escapes outside string literals and comments are strongly discouraged.
 Tip: In the Unicode escape case, and occasionally even when actual Unicode characters are used, an explanatory comment can be very helpful.
 Examples:
 Example 
 Discussion 
 `StringunitAbbrev=""μs"";` 
 Best: perfectly clear even without a comment. 
 `StringunitAbbrev=""\u03bcs"";//""μs""` 
 Allowed, but there's no reason to do this. 
 `StringunitAbbrev=""\u03bcs"";//Greeklettermu,""s""` 
 Allowed, but awkward and prone to mistakes. 
 `StringunitAbbrev=""\u03bcs"";` 
 Poor: the reader has no idea what this is. 
 `return'\ufeff'+content;//byteordermark` 
 Good: use escapes for non-printable characters, and comment if necessary.
 Tip: Never make your code less readable simply out of fear that some programs might not handle non-ASCII characters properly. If that should happen, those programs are broken and they must be fixed .","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""AvoidEscapedUnicodeCharacters"">
                        <property name=""allowByTailComment"" value=""true""/>
                        <property name=""allowEscapesForControlCharacters"" value=""true""/>
                        <property name=""allowNonPrintableEscapes"" value=""true""/>
                </module>
        </module>
</module>
",No,,,,,,,,,,,
3 Source file structure,"A source file consists of, in order : 
 License or copyright information, if present 
 Package statement 
 Import statements 
 Exactly one top-level class
 

 Exactly one blank line separates each section that is present.","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""EmptyLineSeparator"">
                        <property name=""allowNoEmptyLineBetweenFields"" value=""true""/>
 <property name=""allowMultipleEmptyLines"" value=""true""/> 
                        <property name=""tokens"" value=""PACKAGE_DEF, IMPORT, STATIC_IMPORT, CLASS_DEF""/>
                </module>
        </module>
</module>
",Yes,"<module name='PackageDeclaration'/>
******
<module name='OneTopLevelClass'/>",true,,"PackageDeclaration
OneTopLevelClass",EmptyLineSeparator,,"PackageDeclaration
OneTopLevelClass",EmptyLineSeparator,,"PackageDeclaration
OneTopLevelClass",EmptyLineSeparator
"3.1 License or copyright information, if present","If license or copyright information belongs in a file, it belongs here.",,Yes,"<module name='PackageDeclaration'/>
******
<module name='VisibilityModifier'/>
******
<module name='Indentation'/>
******
<module name='OneTopLevelClass'/>",true,,"PackageDeclaration
VisibilityModifier
Indentation
OneTopLevelClass",,,"PackageDeclaration
VisibilityModifier
Indentation
OneTopLevelClass",,,"PackageDeclaration
VisibilityModifier
Indentation
OneTopLevelClass",
3.2 Package statement,"The package statement is not line-wrapped . The column limit (Section 4.4, Column limit: 100 ) does not apply to package statements.","<module name=""Checker"">
        <module name=""LineLength"">
                <property name=""fileExtensions"" value=""java""/>
                <property name=""ignorePattern"" value=""^package.*""/>
                <property name=""max"" value=""100""/>
        </module>
        <module name=""TreeWalker"">
                <module name=""NoLineWrap"">
                        <property name=""tokens"" value=""PACKAGE_DEF""/>
                </module>
        </module>
</module>",Yes,"<module
******
<module name='PackageDeclaration'/>",true,,PackageDeclaration,"LineLength
NoLineWrap",,PackageDeclaration,"LineLength
NoLineWrap",,PackageDeclaration,"LineLength
NoLineWrap"
3.3.1 No wildcard imports,"Wildcard imports , static or otherwise, are not used .","<module name=""Checker"">
  <module name=""TreeWalker"">
    <module name=""AvoidStarImport""/>
  </module>
</module>",Yes,"<module
******
<module name='PackageDeclaration'/>",true,,PackageDeclaration,AvoidStarImport,,PackageDeclaration,AvoidStarImport,,PackageDeclaration,AvoidStarImport
3.3.2 No line-wrapping,"Import statements are not line-wrapped . The column limit (Section 4.4, Column limit: 100 ) does not apply to import statements.","<module name=""Checker"">
        <module name=""LineLength"">
                <property name=""fileExtensions"" value=""java""/>
                <property name=""ignorePattern"" value=""^import.*""/>
                <property name=""max"" value=""100""/>
        </module>
        <module name=""TreeWalker"">
                <module name=""NoLineWrap"">
                        <property name=""tokens"" value="" IMPORT, STATIC_IMPORT""/>
                </module>
        </module>
</module>",Yes,"<module
******
<module name='NoLineWrap'>
            <property name='id' value='NoLineWrap'/>
        </module>",true,NoLineWrap,,LineLength,,NoLineWrap,"LineLength
NoLineWrap",,NoLineWrap,"LineLength
NoLineWrap"
3.3.3 Ordering and spacing,"Imports are ordered as follows:
 All static imports in a single block. 
 All non-static imports in a single block.
 If there are both static and non-static imports, a single blank line separates the two blocks. There are no other blank lines between import statements.
 Within each block the imported names appear in ASCII sort order. ( Note: this is not the same as the import statements being in ASCII sort order, since '.' sorts before ';'.)","<module name=""Checker"">
        <module name=""CustomImportOrder"">
                <property name=""sortImportsInGroupAlphabetically"" value=""true""/>
                <property name=""separateLineBetweenGroups"" value=""true""/>
                <property name=""customImportOrderRules"" value=""STATIC###THIRD_PARTY_PACKAGE""/>
                <property name=""thirdPartyPackageRegExp"" value=""*.""/>
        </module>
</module>",Yes,"<module name='CustomImportOrder'>
  <property name='customImportOrderRules' value='STATIC,THIRD_PARTY,JAVAX,JAVA,SAME_PACKAGE'/>
******
</module>
******
<module name='ImportControl'>
  <property name='fileExtensions' value='java'/>
******
  <property name='separation' value='2'/>
******
  <property name='rules' value='STATIC_IMPORTS:STATIC,JAVAX,JAVA,SAME_PACKAGE'/>
******
</module>",true,CustomImportOrder,ImportControl,,,"CustomImportOrder
ImportControl",CustomImportOrder,,"CustomImportOrder
ImportControl",CustomImportOrder
