baseline,failed_cnt,rule_m_correct,rule_on_correct,rule_ov_correct,exmap_tp,exmap_tn,exmap_fp,exmap_fn,exmap_precision,exmap_recall,exmap_f1,exmap_accuracy,m_all_tp,m_all_fp,m_all_fn,on_all_tp,on_all_fp,on_all_fn,ov_all_tp,ov_all_fp,ov_all_fn,m_macro_precision,m_macro_recall,m_macro_f1,on_macro_precision,on_macro_recall,on_macro_f1,ov_macro_precision,ov_macro_recall,ov_macro_f1,m_micro_precision,m_micro_recall,m_micro_f1,on_micro_precision,on_micro_recall,on_micro_f1,ov_micro_precision,ov_micro_recall,ov_micro_f1
GPT3.5_empty,1,0,0,0,43,8,12,5,0.7818181818181819,0.8958333333333334,0.8349514563106797,0.75,0,54,63,0,54,63,0,54,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
GPT3.5_name,0,26,1,0,46,4,16,2,0.7419354838709677,0.9583333333333334,0.8363636363636364,0.7352941176470589,35,37,34,6,66,63,0,72,69,0.5053763440860215,0.4534946236559139,0.46747311827956983,0.03763440860215054,0.027419354838709678,0.030913978494623653,0.0,0.0,0.0,0.4861111111111111,0.5072463768115942,0.49645390070921985,0.08333333333333333,0.08695652173913043,0.0851063829787234,0.0,0.0,
GPT3.5_name_desc,0,7,1,1,48,0,20,0,0.7058823529411765,1.0,0.8275862068965517,0.7058823529411765,36,212,35,3,245,68,1,247,70,0.23566176470588232,0.42647058823529416,0.27072192513368987,0.024509803921568624,0.024509803921568624,0.024509803921568624,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.14516129032258066,0.5070422535211268,0.22570532915360506,0.012096774193548387,0.04225352112676056,0.018808777429467086,0.004032258064516129,0.014084507042253521,0.006269592476489029
GPT3.5_name_desc_mopt,1,5,1,1,48,0,20,0,0.7058823529411765,1.0,0.8275862068965517,0.7058823529411765,42,199,29,9,232,62,3,238,68,0.2401785714285714,0.4678921568627451,0.2921271538918598,0.05406162464985994,0.06985294117647059,0.05522981920040743,0.020098039215686276,0.034313725490196074,0.022584033613445378,0.17427385892116182,0.5915492957746479,0.2692307692307692,0.03734439834024896,0.1267605633802817,0.057692307692307696,0.012448132780082987,0.04225352112676056,0.019230769230769232
GPT3.5_name_sdesc,0,23,3,2,48,1,19,0,0.7164179104477612,1.0,0.8347826086956522,0.7205882352941176,33,46,38,8,71,63,5,74,66,0.44696969696969696,0.4002525252525252,0.4101010101010101,0.07575757575757576,0.06060606060606061,0.06565656565656565,0.05303030303030303,0.045454545454545456,0.047979797979797977,0.4177215189873418,0.4647887323943662,0.44,0.10126582278481013,0.11267605633802817,0.10666666666666667,0.06329113924050633,0.07042253521126761,0.06666666666666667
GPT3.5_name_sdesc_mopt,0,13,2,0,48,0,20,0,0.7058823529411765,1.0,0.8275862068965517,0.7058823529411765,26,146,45,10,162,61,4,168,67,0.27941176470588236,0.30024509803921573,0.27647058823529413,0.08088235294117647,0.0821078431372549,0.07205882352941176,0.022058823529411766,0.03676470588235294,0.026960784313725485,0.1511627906976744,0.36619718309859156,0.2139917695473251,0.05813953488372093,0.14084507042253522,0.0823045267489712,0.023255813953488372,0.056338028169014086,0.03292181069958848
GPT3.5_name_url,2,25,4,1,48,0,20,0,0.7058823529411765,1.0,0.8275862068965517,0.7058823529411765,36,49,35,8,77,63,3,82,68,0.4602941176470588,0.4208333333333333,0.42450980392156856,0.06029411764705882,0.061764705882352944,0.06078431372549019,0.022058823529411766,0.022058823529411766,0.022058823529411766,0.4235294117647059,0.5070422535211268,0.4615384615384615,0.09411764705882353,0.11267605633802817,0.10256410256410256,0.03529411764705882,0.04225352112676056,0.03846153846153846
GPT3.5_name_url_sdesc,2,19,3,0,48,0,20,0,0.7058823529411765,1.0,0.8275862068965517,0.7058823529411765,33,45,38,10,68,61,4,74,67,0.4054726368159204,0.37039800995024874,0.37164179104477607,0.08706467661691543,0.07761194029850746,0.07835820895522388,0.029850746268656716,0.029850746268656716,0.02736318407960199,0.4230769230769231,0.4647887323943662,0.44295302013422816,0.1282051282051282,0.14084507042253522,0.13422818791946306,0.05128205128205128,0.056338028169014086,0.05369127516778524
GPT4o_empty,1,0,0,0,40,8,12,8,0.7692307692307693,0.8333333333333334,0.8,0.7058823529411765,0,51,58,0,51,58,0,51,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
GPT4o_name,1,23,4,1,48,4,16,0,0.75,1.0,0.8571428571428571,0.7647058823529411,56,691,15,16,731,55,1,746,70,0.5321943023555926,0.6556451612903227,0.5472433059245204,0.1217741935483871,0.1053763440860215,0.10878437396463962,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.0749665327978581,0.7887323943661971,0.13691931540342298,0.0214190093708166,0.22535211267605634,0.039119804400977995,0.0013386880856760374,0.014084507042253521,0.0024449877750611247
