rule_name,description,benchmark,gpt_answer,gpt_configuration,valid_config,module_tp,module_fp,module_fn,option_name_tp,option_name_fp,option_name_fn,option_value_tp,option_value_fp,option_value_fn
2.2 File encoding: UTF-8,Source files are encoded in UTF-8 .,,Yes,"<module name='OperatorWrap'>
        <property name='option' value='NL'/>
        <property name='tokens' value='EQUAL, NOT_EQUAL'/>
    </module>
    
<module name='SeparatorWrap'>
        <property name='id' value='SeparatorWrapNL'/>
        <property name='tokens' value='DOT, METHOD_REF'/>
        <property name='option' value='nl'/>
    </module>
    
<module name='SeparatorWrap'>
        <property name='id' value='SeparatorWrapEOL'/>
        <property name='tokens' value='COMMA, LPAREN'/>
        <property name='option' value='EOL'/>
    </module>
    
<module name='MethodParamPad'>
        <property name='allowLineBreaks' value='true'/>
        <property name='option' value='space'/>
        <property name='tokens' value='CTOR_DEF'/>
    </module>",true,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",
2.3.1 Whitespace characters,"Aside from the line terminator sequence, the ASCII horizontal space character ( 0x20 ) is the only whitespace character that appears anywhere in a source file. This implies that:
 All other whitespace characters in string and character literals are escaped. 
 Tab characters are not used for indentation.","<module name=""Checker"">
  <module name=""FileTabCharacter"">
    <property name=""eachLine"" value=""true""/>
  </module>
</module>",Yes,"<module name='OperatorWrap'>
        <property name='option' value='NL'/>
        <property name='tokens' value='EQUAL, NOT_EQUAL'/>
    </module>
    
<module name='SeparatorWrap'>
        <property name='id' value='SeparatorWrapNL'/>
        <property name='tokens' value='DOT, METHOD_REF'/>
        <property name='option' value='nl'/>
    </module>
    
<module name='SeparatorWrap'>
        <property name='id' value='SeparatorWrapEOL'/>
        <property name='tokens' value='COMMA, LPAREN'/>
        <property name='option' value='EOL'/>
    </module>
    
<module name='MethodParamPad'>
        <property name='allowLineBreaks' value='true'/>
        <property name='option' value='space'/>
        <property name='tokens' value='CTOR_DEF'/>
    </module>",true,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",FileTabCharacter,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",FileTabCharacter,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",FileTabCharacter
2.3.2 Special escape sequences,"For any character that has a special escape sequence ( `\b` , `\t` , `\n` , `\f` , `\r` , `\""` , `\'` and `\\` ), that sequence is used rather than the corresponding octal (e.g. `\012` ) or Unicode (e.g. `\u000a` ) escape.","<module name=""Checker"">
	<module name=""IllegalTokenText"">
		<property name=""format"" value=""\\u00(09|0(a|A)|0(c|C)|0(d|D)|22|27|5(C|c))|\\(0(10|11|12|14|15|42|47)|134)""/>
		<property name=""tokens"" value=""STRING_LITERAL, CHAR_LITERAL""/>
	</module>
</module>",Yes,"<module name='OperatorWrap'>
        <property name='option' value='NL'/>
        <property name='tokens' value='EQUAL, NOT_EQUAL'/>
    </module>
    
<module name='SeparatorWrap'>
        <property name='id' value='SeparatorWrapNL'/>
        <property name='tokens' value='DOT, METHOD_REF'/>
        <property name='option' value='nl'/>
    </module>
    
<module name='SeparatorWrap'>
        <property name='id' value='SeparatorWrapEOL'/>
        <property name='tokens' value='COMMA, LPAREN'/>
        <property name='option' value='EOL'/>
    </module>
    
<module name='MethodParamPad'>
        <property name='allowLineBreaks' value='true'/>
        <property name='option' value='space'/>
        <property name='tokens' value='CTOR_DEF'/>
    </module>",true,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",IllegalTokenText,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",IllegalTokenText,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",IllegalTokenText
2.3.3 Non-ASCII characters,"For the remaining non-ASCII characters, either the actual Unicode character (e.g. `∞` ) or the equivalent Unicode escape (e.g. `\u221e` ) is used. The choice depends only on which makes the code easier to read and understand , although Unicode escapes outside string literals and comments are strongly discouraged.
 Tip: In the Unicode escape case, and occasionally even when actual Unicode characters are used, an explanatory comment can be very helpful.
 Examples:
 Example 
 Discussion 
 `StringunitAbbrev=""μs"";` 
 Best: perfectly clear even without a comment. 
 `StringunitAbbrev=""\u03bcs"";//""μs""` 
 Allowed, but there's no reason to do this. 
 `StringunitAbbrev=""\u03bcs"";//Greeklettermu,""s""` 
 Allowed, but awkward and prone to mistakes. 
 `StringunitAbbrev=""\u03bcs"";` 
 Poor: the reader has no idea what this is. 
 `return'\ufeff'+content;//byteordermark` 
 Good: use escapes for non-printable characters, and comment if necessary.
 Tip: Never make your code less readable simply out of fear that some programs might not handle non-ASCII characters properly. If that should happen, those programs are broken and they must be fixed .","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""AvoidEscapedUnicodeCharacters"">
                        <property name=""allowByTailComment"" value=""true""/>
                        <property name=""allowEscapesForControlCharacters"" value=""true""/>
                        <property name=""allowNonPrintableEscapes"" value=""true""/>
                </module>
        </module>
</module>
",Yes,"<module name='AvoidEscapedUnicodeCharacters'>
        <property name='allowByTailComment' value='true'/>
        <property name='allowEscapesForControlCharacters' value='true'/>
        <property name='allowIfAllCharactersEscaped' value='true'/>
        <property name='allowNonPrintableEscapes' value='true'/>
    </module>",true,AvoidEscapedUnicodeCharacters,,,,AvoidEscapedUnicodeCharacters,AvoidEscapedUnicodeCharacters,,AvoidEscapedUnicodeCharacters,AvoidEscapedUnicodeCharacters
3 Source file structure,"A source file consists of, in order : 
 License or copyright information, if present 
 Package statement 
 Import statements 
 Exactly one top-level class
 

 Exactly one blank line separates each section that is present.","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""EmptyLineSeparator"">
                        <property name=""allowNoEmptyLineBetweenFields"" value=""true""/>
 <property name=""allowMultipleEmptyLines"" value=""true""/> 
                        <property name=""tokens"" value=""PACKAGE_DEF, IMPORT, STATIC_IMPORT, CLASS_DEF""/>
                </module>
        </module>
</module>
",Yes,"<module name='PackageDeclaration'>
        <property name='matchDirectoryStructure' value='true'/>
    </module>
    
<module name='OneTopLevelClass'/>
    
<module name='EmptyLineSeparator'/>
    
<module name='EmptyBlock'/>
    
<module name='WhitespaceAround'>
        <property name='allowEmptyMethods' value='true'/>
    </module>",true,EmptyLineSeparator,"PackageDeclaration
OneTopLevelClass
EmptyBlock
WhitespaceAround",,,"PackageDeclaration
OneTopLevelClass
EmptyLineSeparator
EmptyBlock
WhitespaceAround",EmptyLineSeparator,,"PackageDeclaration
OneTopLevelClass
EmptyLineSeparator
EmptyBlock
WhitespaceAround",EmptyLineSeparator
"3.1 License or copyright information, if present","If license or copyright information belongs in a file, it belongs here.",,Yes,"<module name='OperatorWrap'>
        <property name='option' value='NL'/>
        <property name='tokens' value='EQUAL, NOT_EQUAL'/>
    </module>
    
<module name='SeparatorWrap'>
        <property name='id' value='SeparatorWrapNL'/>
        <property name='tokens' value='DOT, METHOD_REF'/>
        <property name='option' value='nl'/>
    </module>
    
<module name='SeparatorWrap'>
        <property name='id' value='SeparatorWrapEOL'/>
        <property name='tokens' value='COMMA, LPAREN'/>
        <property name='option' value='EOL'/>
    </module>
    
<module name='MethodParamPad'>
        <property name='allowLineBreaks' value='true'/>
        <property name='option' value='space'/>
        <property name='tokens' value='CTOR_DEF'/>
    </module>",true,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",
3.2 Package statement,"The package statement is not line-wrapped . The column limit (Section 4.4, Column limit: 100 ) does not apply to package statements.","<module name=""Checker"">
        <module name=""LineLength"">
                <property name=""fileExtensions"" value=""java""/>
                <property name=""ignorePattern"" value=""^package.*""/>
                <property name=""max"" value=""100""/>
        </module>
        <module name=""TreeWalker"">
                <module name=""NoLineWrap"">
                        <property name=""tokens"" value=""PACKAGE_DEF""/>
                </module>
        </module>
</module>",Yes,"<module name='OperatorWrap'>
        <property name='option' value='NL'/>
        <property name='tokens' value='EQUAL, NOT_EQUAL'/>
    </module>
    
<module name='SeparatorWrap'>
        <property name='id' value='SeparatorWrapNL'/>
        <property name='tokens' value='DOT, METHOD_REF'/>
        <property name='option' value='nl'/>
    </module>
    
<module name='SeparatorWrap'>
        <property name='id' value='SeparatorWrapEOL'/>
        <property name='tokens' value='COMMA, LPAREN'/>
        <property name='option' value='EOL'/>
    </module>
    
<module name='MethodParamPad'>
        <property name='allowLineBreaks' value='true'/>
        <property name='option' value='space'/>
        <property name='tokens' value='CTOR_DEF'/>
    </module>",true,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad","LineLength
NoLineWrap",,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad","LineLength
NoLineWrap",,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad","LineLength
NoLineWrap"
3.3.1 No wildcard imports,"Wildcard imports , static or otherwise, are not used .","<module name=""Checker"">
  <module name=""TreeWalker"">
    <module name=""AvoidStarImport""/>
  </module>
</module>",Yes,"<module name='OperatorWrap'>
        <property name='option' value='NL'/>
        <property name='tokens' value='EQUAL, NOT_EQUAL'/>
    </module>
    
<module name='SeparatorWrap'>
        <property name='id' value='SeparatorWrapNL'/>
        <property name='tokens' value='DOT, METHOD_REF'/>
        <property name='option' value='nl'/>
    </module>
    
<module name='SeparatorWrap'>
        <property name='id' value='SeparatorWrapEOL'/>
        <property name='tokens' value='COMMA, LPAREN'/>
        <property name='option' value='EOL'/>
    </module>
    
<module name='MethodParamPad'>
        <property name='allowLineBreaks' value='true'/>
        <property name='option' value='space'/>
        <property name='tokens' value='CTOR_DEF'/>
    </module>",true,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",AvoidStarImport,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",AvoidStarImport,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",AvoidStarImport
3.3.2 No line-wrapping,"Import statements are not line-wrapped . The column limit (Section 4.4, Column limit: 100 ) does not apply to import statements.","<module name=""Checker"">
        <module name=""LineLength"">
                <property name=""fileExtensions"" value=""java""/>
                <property name=""ignorePattern"" value=""^import.*""/>
                <property name=""max"" value=""100""/>
        </module>
        <module name=""TreeWalker"">
                <module name=""NoLineWrap"">
                        <property name=""tokens"" value="" IMPORT, STATIC_IMPORT""/>
                </module>
        </module>
</module>",Yes,"<module name='NoLineWrap'>
        <property name='tokens' value='IMPORT'/>
    </module>",true,NoLineWrap,,LineLength,NoLineWrap,,LineLength,,NoLineWrap,"LineLength
NoLineWrap"
3.3.3 Ordering and spacing,"Imports are ordered as follows:
 All static imports in a single block. 
 All non-static imports in a single block.
 If there are both static and non-static imports, a single blank line separates the two blocks. There are no other blank lines between import statements.
 Within each block the imported names appear in ASCII sort order. ( Note: this is not the same as the import statements being in ASCII sort order, since '.' sorts before ';'.)","<module name=""Checker"">
        <module name=""CustomImportOrder"">
                <property name=""sortImportsInGroupAlphabetically"" value=""true""/>
                <property name=""separateLineBetweenGroups"" value=""true""/>
                <property name=""customImportOrderRules"" value=""STATIC###THIRD_PARTY_PACKAGE""/>
                <property name=""thirdPartyPackageRegExp"" value=""*.""/>
        </module>
</module>",Yes,"<module name='CustomImportOrder'>
        <property name='customImportOrderRules' value='SPECIAL_IMPORTS,STANDARD_JAVA_PACKAGE,THIRD_PARTY_PACKAGE'/>
        <property name='separateLineBetweenGroups' value='true'/>
        <property name='sortImportsInGroupAlphabetically' value='true'/>
    </module>
    
<module name='ImportOrder'>
        <property name='caseSensitive' value='true'/>
        <property name='groups' value='java.,javax.,org.,com.,net.,/.*'/>
        <property name='option' value='top'/>
        <property name='ordered' value='true'/>
        <property name='separated' value='true'/>
        <property name='sortStaticImportsAlphabetically' value='true'/>
        <property name='staticGroups' value='java.,javax.,org.,com.,net.,/.*'/>
        <property name='useContainerOrderingForStatic' value='false'/>
    </module>",true,CustomImportOrder,ImportOrder,,,"CustomImportOrder
ImportOrder",CustomImportOrder,,"CustomImportOrder
ImportOrder",CustomImportOrder
