rule_name,description,benchmark,gpt_answer,gpt_configuration
2.2 File encoding: UTF-8,Source files are encoded in UTF-8 .,,Yes,"<module name='FileTabCharacter'>
        <property name='charset' value='UTF-8'/>
    </module>"
2.3.1 Whitespace characters,"Aside from the line terminator sequence, the ASCII horizontal space character ( 0x20 ) is the only whitespace character that appears anywhere in a source file. This implies that:
 All other whitespace characters in string and character literals are escaped. 
 Tab characters are not used for indentation.","<module name=""Checker"">
  <module name=""FileTabCharacter"">
    <property name=""eachLine"" value=""true""/>
  </module>
</module>",Yes,"<module name='FileTabCharacter'>
        <property name='eachLine' value='true'/>
    </module>
    
<module name='RegexpSingleline'>
        <property name='format' value='\\t'/>
        <property name='message' value='Tab characters are not allowed'/>
    </module>"
2.3.2 Special escape sequences,"For any character that has a special escape sequence ( `\b` , `\t` , `\n` , `\f` , `\r` , `\""` , `\'` and `\\` ), that sequence is used rather than the corresponding octal (e.g. `\012` ) or Unicode (e.g. `\u000a` ) escape.","<module name=""Checker"">
	<module name=""IllegalTokenText"">
		<property name=""format"" value=""\\u00(09|0(a|A)|0(c|C)|0(d|D)|22|27|5(C|c))|\\(0(10|11|12|14|15|42|47)|134)""/>
		<property name=""tokens"" value=""STRING_LITERAL, CHAR_LITERAL""/>
	</module>
</module>",No
2.3.3 Non-ASCII characters,"For the remaining non-ASCII characters, either the actual Unicode character (e.g. `∞` ) or the equivalent Unicode escape (e.g. `\u221e` ) is used. The choice depends only on which makes the code easier to read and understand , although Unicode escapes outside string literals and comments are strongly discouraged.
 Tip: In the Unicode escape case, and occasionally even when actual Unicode characters are used, an explanatory comment can be very helpful.
 Examples:
 Example 
 Discussion 
 `StringunitAbbrev=""μs"";` 
 Best: perfectly clear even without a comment. 
 `StringunitAbbrev=""\u03bcs"";//""μs""` 
 Allowed, but there's no reason to do this. 
 `StringunitAbbrev=""\u03bcs"";//Greeklettermu,""s""` 
 Allowed, but awkward and prone to mistakes. 
 `StringunitAbbrev=""\u03bcs"";` 
 Poor: the reader has no idea what this is. 
 `return'\ufeff'+content;//byteordermark` 
 Good: use escapes for non-printable characters, and comment if necessary.
 Tip: Never make your code less readable simply out of fear that some programs might not handle non-ASCII characters properly. If that should happen, those programs are broken and they must be fixed .","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""AvoidEscapedUnicodeCharacters"">
                        <property name=""allowByTailComment"" value=""true""/>
                        <property name=""allowEscapesForControlCharacters"" value=""true""/>
                        <property name=""allowNonPrintableEscapes"" value=""true""/>
                </module>
        </module>
</module>
",No
3 Source file structure,"A source file consists of, in order : 
 License or copyright information, if present 
 Package statement 
 Import statements 
 Exactly one top-level class
 

 Exactly one blank line separates each section that is present.","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""EmptyLineSeparator"">
                        <property name=""allowNoEmptyLineBetweenFields"" value=""true""/>
 <property name=""allowMultipleEmptyLines"" value=""true""/> 
                        <property name=""tokens"" value=""PACKAGE_DEF, IMPORT, STATIC_IMPORT, CLASS_DEF""/>
                </module>
        </module>
</module>
",Yes,"<module name='Header'>
        <property name='headerFile' value='path/to/header.txt'/>
    </module>
    
<module name='RegexpHeader'>
        <property name='header' value='(package|import|class)'/>
        <property name='multiLines' value='true'/>
    </module>
    
<module name='NewlineAtEndOfFile'>
        <property name='lineSeparator' value='lf'/>
    </module>
    
<module name='EmptyLineSeparator'>
        <property name='allowMultipleEmptyLines' value='false'/>
        <property name='tokens' value='PACKAGE_DEF,IMPORT,CLASS_DEF'/>
    </module>"
"3.1 License or copyright information, if present","If license or copyright information belongs in a file, it belongs here.",,Yes,"<module name='Header'>
        <property name='headerFile' value='path/to/header.txt'/>
        <property name='multiLines' value='true'/>
    </module>"
3.2 Package statement,"The package statement is not line-wrapped . The column limit (Section 4.4, Column limit: 100 ) does not apply to package statements.","<module name=""Checker"">
        <module name=""LineLength"">
                <property name=""fileExtensions"" value=""java""/>
                <property name=""ignorePattern"" value=""^package.*""/>
                <property name=""max"" value=""100""/>
        </module>
        <module name=""TreeWalker"">
                <module name=""NoLineWrap"">
                        <property name=""tokens"" value=""PACKAGE_DEF""/>
                </module>
        </module>
</module>",Yes,"<module name='PackageDeclaration'>
        <property name='id' value='packageDeclaration'/>
        <property name='lineWrapping' value='false'/>
    </module>"
3.3.1 No wildcard imports,"Wildcard imports , static or otherwise, are not used .","<module name=""Checker"">
  <module name=""TreeWalker"">
    <module name=""AvoidStarImport""/>
  </module>
</module>",Yes,"<module name='AvoidStarImport'>
        <property name='id' value='AvoidStarImport'/>
    </module>
    
<module name='AvoidStaticImport'>
        <property name='id' value='AvoidStaticImport'/>
    </module>"
3.3.2 No line-wrapping,"Import statements are not line-wrapped . The column limit (Section 4.4, Column limit: 100 ) does not apply to import statements.","<module name=""Checker"">
        <module name=""LineLength"">
                <property name=""fileExtensions"" value=""java""/>
                <property name=""ignorePattern"" value=""^import.*""/>
                <property name=""max"" value=""100""/>
        </module>
        <module name=""TreeWalker"">
                <module name=""NoLineWrap"">
                        <property name=""tokens"" value="" IMPORT, STATIC_IMPORT""/>
                </module>
        </module>
</module>",Yes,"<module name='LineLength'>
        <property name='ignorePattern' value='^import\\s.*;'/>
        <property name='max' value='100'/>
    </module>"
3.3.3 Ordering and spacing,"Imports are ordered as follows:
 All static imports in a single block. 
 All non-static imports in a single block.
 If there are both static and non-static imports, a single blank line separates the two blocks. There are no other blank lines between import statements.
 Within each block the imported names appear in ASCII sort order. ( Note: this is not the same as the import statements being in ASCII sort order, since '.' sorts before ';'.)","<module name=""Checker"">
        <module name=""CustomImportOrder"">
                <property name=""sortImportsInGroupAlphabetically"" value=""true""/>
                <property name=""separateLineBetweenGroups"" value=""true""/>
                <property name=""customImportOrderRules"" value=""STATIC###THIRD_PARTY_PACKAGE""/>
                <property name=""thirdPartyPackageRegExp"" value=""*.""/>
        </module>
</module>",Yes,"<module name='ImportOrder'>
        <property name='option' value='top'/>
        <property name='groups' value='java,javax,org,com'/>
        <property name='ordered' value='true'/>
        <property name='separated' value='true'/>
        <property name='staticGroups' value='true'/>
        <property name='sortStaticImportsAlphabetically' value='true'/>
        <property name='sortImportsAlphabetically' value='true'/>
    </module>"
