baseline,failed_cnt,rule_m_correct,rule_on_correct,rule_ov_correct,exmap_tp,exmap_tn,exmap_fp,exmap_fn,exmap_precision,exmap_recall,exmap_f1,exmap_accuracy,m_all_tp,m_all_fp,m_all_fn,on_all_tp,on_all_fp,on_all_fn,ov_all_tp,ov_all_fp,ov_all_fn,m_macro_precision,m_macro_recall,m_macro_f1,on_macro_precision,on_macro_recall,on_macro_f1,ov_macro_precision,ov_macro_recall,ov_macro_f1,m_micro_precision,m_micro_recall,m_micro_f1,on_micro_precision,on_micro_recall,on_micro_f1,ov_micro_precision,ov_micro_recall,ov_micro_f1
GPT3.5_empty,4,10,2,0,45,5,15,3,0.75,0.9375,0.8333333333333334,0.7352941176470589,14,52,54,3,63,65,0,66,68,0.21182266009852216,0.19109195402298848,0.19420062695924764,0.03694581280788177,0.03879310344827586,0.037617554858934164,0.0,0.0,0.0,0.21212121212121213,0.20588235294117646,0.20895522388059704,0.045454545454545456,0.04411764705882353,0.04477611940298508,0.0,0.0,
GPT3.5_name,0,24,2,0,47,4,16,1,0.746031746031746,0.9791666666666666,0.846846846846847,0.75,34,43,36,6,71,64,2,75,68,0.4722222222222222,0.4304232804232804,0.43844797178130507,0.047619047619047616,0.03968253968253968,0.042328042328042326,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.44155844155844154,0.4857142857142857,0.4625850340136054,0.07792207792207792,0.08571428571428572,0.08163265306122448,0.025974025974025976,0.02857142857142857,0.027210884353741496
GPT3.5_name_desc,0,17,2,1,48,0,20,0,0.7058823529411765,1.0,0.8275862068965517,0.7058823529411765,51,201,20,8,244,63,1,251,70,0.40442927170868354,0.5549019607843138,0.42191346235463895,0.06127450980392157,0.06495098039215685,0.05987394957983193,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.20238095238095238,0.7183098591549296,0.3157894736842105,0.031746031746031744,0.11267605633802817,0.04953560371517027,0.003968253968253968,0.014084507042253521,0.0061919504643962835
GPT3.5_name_desc_mopt,1,17,3,1,48,0,20,0,0.7058823529411765,1.0,0.8275862068965517,0.7058823529411765,45,213,26,11,247,60,3,255,68,0.3799369747899159,0.5169117647058824,0.39401897122485363,0.10896358543417366,0.11642156862745098,0.09728163992869876,0.03431372549019608,0.03676470588235294,0.031862745098039214,0.1744186046511628,0.6338028169014085,0.27355623100303955,0.04263565891472868,0.15492957746478872,0.0668693009118541,0.011627906976744186,0.04225352112676056,0.0182370820668693
GPT3.5_name_sdesc,0,21,4,1,48,1,19,0,0.7164179104477612,1.0,0.8347826086956522,0.7205882352941176,32,49,39,9,72,62,4,77,67,0.42424242424242425,0.38510101010101006,0.38989898989898986,0.09090909090909091,0.07575757575757576,0.0808080808080808,0.03787878787878788,0.030303030303030304,0.032828282828282825,0.3950617283950617,0.4507042253521127,0.42105263157894735,0.1111111111111111,0.1267605633802817,0.11842105263157894,0.04938271604938271,0.056338028169014086,0.05263157894736842
GPT3.5_name_sdesc_mopt,1,11,2,0,48,0,20,0,0.7058823529411765,1.0,0.8275862068965517,0.7058823529411765,30,152,41,11,171,60,4,178,67,0.2933823529411765,0.33014705882352946,0.2801820728291317,0.09068627450980393,0.07965686274509803,0.0723389355742297,0.017156862745098037,0.03676470588235294,0.021358543417366947,0.16483516483516483,0.4225352112676056,0.23715415019762848,0.06043956043956044,0.15492957746478872,0.08695652173913043,0.02197802197802198,0.056338028169014086,0.0316205533596838
GPT3.5_name_url,1,26,2,1,48,0,20,0,0.7058823529411765,1.0,0.8275862068965517,0.7058823529411765,36,37,35,6,67,65,4,69,67,0.47794117647058826,0.4208333333333333,0.4365546218487395,0.04411764705882353,0.03676470588235294,0.0392156862745098,0.03676470588235294,0.029411764705882353,0.031862745098039214,0.4931506849315068,0.5070422535211268,0.5,0.0821917808219178,0.08450704225352113,0.08333333333333333,0.0547945205479452,0.056338028169014086,0.05555555555555555
GPT3.5_name_url_sdesc,3,19,4,1,48,0,20,0,0.7058823529411765,1.0,0.8275862068965517,0.7058823529411765,31,59,40,10,80,61,4,86,67,0.38941655359565813,0.3524875621890547,0.35609452736318403,0.09090909090909091,0.07761194029850746,0.08146766169154228,0.03731343283582089,0.029850746268656716,0.03233830845771144,0.34444444444444444,0.43661971830985913,0.38509316770186336,0.1111111111111111,0.14084507042253522,0.12422360248447206,0.044444444444444446,0.056338028169014086,0.04968944099378882
GPT4o_empty,1,13,1,1,42,5,15,6,0.7368421052631579,0.875,0.7999999999999999,0.6911764705882353,32,61,32,6,87,58,3,90,61,0.40757575757575754,0.5106060606060606,0.42484848484848486,0.0696969696969697,0.08333333333333333,0.06666666666666667,0.03333333333333333,0.05454545454545454,0.03939393939393939,0.34408602150537637,0.5,0.40764331210191085,0.06451612903225806,0.09375,0.07643312101910828,0.03225806451612903,0.046875,0.03821656050955414
GPT4o_name,2,23,4,2,48,4,16,0,0.75,1.0,0.8571428571428571,0.7647058823529411,52,287,19,16,323,55,3,336,68,0.5146505376344086,0.6532258064516129,0.5413466461853559,0.12311827956989246,0.13978494623655913,0.12401433691756271,0.04032258064516129,0.04838709677419355,0.04301075268817204,0.15339233038348082,0.7323943661971831,0.25365853658536586,0.0471976401179941,0.22535211267605634,0.07804878048780488,0.008849557522123894,0.04225352112676056,0.014634146341463414
