Section Name,Style Url,Total Description,Style Rules,Tool URL,Tool Description,Tool Rules (Can Ignore),Options,Our Results,GPT results_rule_name_descr_options,GPT results_rule_name_descr,GPT results_html,Refer url,Refer Results
3 Source file structure,https://google.github.io/styleguide/jsguide.html#source-file-structure,"All new source files should either be a `goog.module` file (a file containing a `goog.module` call) or an ECMAScript (ES) module (uses `import` and `export` statements). Files consist of the following, in order:
 
 1. License or copyright information, if present
 2. `@fileoverview` JSDoc, if present
 3. `goog.module` statement, if a `goog.module` file
 4. ES `import` statements, if an ES module
 5. `goog.require` and `goog.requireType` statements
 6. The file’s implementation
 
 Exactly one blank line separates each section that is present, except the file's implementation, which may be preceded by 1 or 2 blank lines.",the source file consists of different parts arranged in order.,,esling cannot handle,,,esling cannot handle,,,,,
"3.1 License or copyright information, if present",https://google.github.io/styleguide/jsguide.html#file-copyright,"If license or copyright information belongs in a file, it belongs here.","1. recognize license/ copyright info.
2.place it at the beginning of the file",,esling cannot handle,,,esling cannot handle,,,,,
"3.2 @fileoverview JSDoc, if present",https://google.github.io/styleguide/jsguide.html#file-fileoverview,See 7.5 Top/file-level comments for formatting rules.,,,esling cannot handle,,,esling cannot handle,,,,,
3.3 goog.module statement,https://google.github.io/styleguide/jsguide.html#file-goog-module,"All goog.module files must declare exactly one goog.module name on a single line: lines containing a goog.module declaration must not be wrapped, and are therefore an exception to the 80-column limit.
 
 The entire argument to goog.module is what defines a namespace. It is the package name (an identifier that reflects the fragment of the directory structure where the code lives) plus, optionally, the main class/enum/interface that it defines concatenated to the end.
 
 Example
 
 goog.module('search.urlHistory.UrlHistoryService');","1. recognize goog.module declaration.
2. declaration must not be wrapped.
3. declaration can be longer than 80 column ",3.  https://eslint.org/docs/v8.x/rules/max-len,3. Very long lines of code in any language can be difficult to read. In order to aid in readability and maintainability many coders have developed a convention to limit lines of code to X number of characters (traditionally 80 characters).,3. max-len,"3.
""code"" (default 80) enforces a maximum line length
""tabWidth"" (default 4) specifies the character width for tab characters
""comments"" enforces a maximum line length for comments; defaults to value of code
""ignorePattern"" ignores lines matching a regular expression; can only match a single line and need to be double escaped when written in YAML or JSON
""ignoreComments"": true ignores all trailing comments and comments on their own line
""ignoreTrailingComments"": true ignores only trailing comments
""ignoreUrls"": true ignores lines that contain a URL
""ignoreStrings"": true ignores lines that contain a double-quoted or single-quoted string
""ignoreTemplateLiterals"": true ignores lines that contain a template literal
""ignoreRegExpLiterals"": true ignores lines that contain a RegExp literal",,,,,,
3.3.1 Hierarchy,https://google.github.io/styleguide/jsguide.html#naming-hierarchy,"Module namespaces may never be named as a direct child of another module's namespace.
 
 Disallowed:
 
 goog.module('foo.bar'); // 'foo.bar.qux' would be fine, though
 goog.module('foo.bar.baz');
 
 The directory hierarchy reflects the namespace hierarchy, so that deeper-nested children are subdirectories of higher-level parent directories. Note that this implies that owners of “parent” namespace groups are necessarily aware of all child namespaces, since they exist in the same directory.","1. 模块命名空间不可以直接作为另一个模块命名空间的子命名空间

2. 模块的命名空间层级关系应该与文件夹的层级关系一致（涉及到多个文件）",,esling cannot handle,,,esling cannot handle,,,,,
3.3.2 goog.module.declareLegacyNamespace,https://google.github.io/styleguide/jsguide.html#file-declare-legacy-namespace,"The single goog.module statement may optionally be followed by a call to goog.module.declareLegacyNamespace();. Avoid goog.module.declareLegacyNamespace() when possible.
 
goog.module.declareLegacyNamespace exists to ease the transition from traditional object hierarchy-based namespaces but comes with some naming restrictions. As the child module name must be created after the parent namespace, this name must not be a child or parent of any other goog.module (for example, goog.module('parent'); and goog.module('parent.child'); cannot both exist safely, nor can goog.module('parent'); and goog.module('parent.child.grandchild');).",1. 避免使用 goog.module.declareLegacyNamespace(),,esling cannot handle,,,esling cannot handle,,,,,
3.3.3 goog.module Exports,https://google.github.io/styleguide/jsguide.html#file-goog-module-exports,"Classes, enums, functions, constants, and other symbols are exported using the exports object. Exported symbols may be defined directly on the exports object, or else declared locally and exported separately. Symbols are only exported if they are meant to be used outside the module. Non-exported module-local symbols are not declared @private nor do their names end with an underscore. There is no prescribed ordering for exported and module-local symbols.

 Do not annotate the exports object as @const as it is already treated as a constant by the compiler.
","1. Symbols are only exported if they are meant to be used outside the module.
需要跨文件分析，难以实现

2. Non-exported module-local symbols are not declared @private nor do their names end with an underscore.
检测是否使用@private修饰
检测命名方式

3.不需要使用 @const 注解 exports 对象",,,,,esling cannot handle,,,,,
3.4 ES modules,https://google.github.io/styleguide/jsguide.html#file-es-modules,,,,,,,esling cannot handle,,,,,
3.4.1 Imports,https://google.github.io/styleguide/jsguide.html#es-module-imports,Import statements must not be line wrapped and are therefore an exception to the 80-column limit.,"1. import statements must not be line wrapped

2.the length of import statements can be greater than 80 columns","1. eslint cannot handle
2. https://eslint.org/docs/v8.x/rules/max-len","1.eslint cannot handle
2. Very long lines of code in any language can be difficult to read. In order to aid in readability and maintainability many coders have developed a convention to limit lines of code to X number of characters (traditionally 80 characters).",2.max-len,"2.
""code"" (default 80) enforces a maximum line length
""tabWidth"" (default 4) specifies the character width for tab characters
""comments"" enforces a maximum line length for comments; defaults to value of code
""ignorePattern"" ignores lines matching a regular expression; can only match a single line and need to be double escaped when written in YAML or JSON
""ignoreComments"": true ignores all trailing comments and comments on their own line
""ignoreTrailingComments"": true ignores only trailing comments
""ignoreUrls"": true ignores lines that contain a URL
""ignoreStrings"": true ignores lines that contain a double-quoted or single-quoted string
""ignoreTemplateLiterals"": true ignores lines that contain a template literal
""ignoreRegExpLiterals"": true ignores lines that contain a RegExp literal","max-len: [""error"", { 
""code"":80,
""ignorePattern"": ""^import .*""
}
]",,,,,
3.4.1.1 Import paths,previous,"ES module files must use the import statement to import other ES module files. Do not goog.require another ES module.

import './sideeffects.js';

import * as goog from '../closure/goog/goog.js';
import * as parent from '../parent.js';

import {name} from './sibling.js';","1. recognize es module file.

2. use import ranther than goog.require in es module file",,,,,,,,,,
