url,iden,name,msg,state,fix,description,suggestion,codeExamples,options,other
https://docs.astral.sh/ruff/rules/unused-import/,F401,unused-import,<code>{name}</code> imported but unused; consider using <code>importlib.util.find_spec</code> to test for availability,Rule is stable,Automatic fix available,"What it does#
Checks for unused imports.
","Why is this bad?#
Unused imports add a performance overhead at runtime, and risk creating
import cycles. They also increase the cognitive load of reading the code.
If an import statement is used to check for the availability or existence
of a module, consider using importlib.util.find_spec instead.
If an import statement is used to re-export a symbol as part of a module's
public interface, consider using a ""redundant"" import alias, which
instructs Ruff (and other tools) to respect the re-export, and avoid
marking it as unused, as in:
from module import member as member

Fix safety#
When ignore_init_module_imports is disabled, fixes can remove for unused imports in __init__ files.
These fixes are considered unsafe because they can change the public interface.
","----neg----:
import numpy as np  # unused import


def area(radius):
    return 3.14 * radius**2
----pos----:
def area(radius):
    return 3.14 * radius**2
----other----:
To check the availability of a module, use importlib.util.find_spec:
from importlib.util import find_spec

if find_spec(""numpy"") is not None:
    print(""numpy is installed"")
else:
    print(""numpy is not installed"")

","https://docs.astral.sh/ruff/settings/#lint_ignore-init-module-imports
lint.ignore-init-module-imports
None","
<h1 id=""unused-import-f401"">unused-import (F401)<a class=""headerlink"" href=""#unused-import-f401"" title=""Permanent link"">#</a></h1>
<p>Derived from the <strong>Pyflakes</strong> linter.</p>
<p>Fix is sometimes available.</p>
<h2 id=""references"">References<a class=""headerlink"" href=""#references"" title=""Permanent link"">#</a></h2>
<ul>
<li><a href=""https://docs.python.org/3/reference/simple_stmts.html#the-import-statement"">Python documentation: <code>import</code></a></li>
<li><a href=""https://docs.python.org/3/library/importlib.html#importlib.util.find_spec"">Python documentation: <code>importlib.util.find_spec</code></a></li>
<li><a href=""https://typing.readthedocs.io/en/latest/source/libraries.html#library-interface-public-and-private-symbols"">Typing documentation: interface conventions</a></li>
</ul>
"
https://docs.astral.sh/ruff/rules/import-shadowed-by-loop-var/,F402,import-shadowed-by-loop-var,Import <code>{name}</code> from {row} shadowed by loop variable,Rule is stable,Automatic fix not available,"What it does#
Checks for import bindings that are shadowed by loop variables.
","Why is this bad?#
Shadowing an import with loop variables makes the code harder to read and
reason about, as the identify of the imported binding is no longer clear.
It's also often indicative of a mistake, as it's unlikely that the loop
variable is intended to be used as the imported binding.
Consider using a different name for the loop variable.
","----neg----:
from os import path

for path in files:
    print(path)
----pos----:
from os import path


for filename in files:
    print(filename)
",,"
<h1 id=""import-shadowed-by-loop-var-f402"">import-shadowed-by-loop-var (F402)<a class=""headerlink"" href=""#import-shadowed-by-loop-var-f402"" title=""Permanent link"">#</a></h1>
<p>Derived from the <strong>Pyflakes</strong> linter.</p>
"
https://docs.astral.sh/ruff/rules/undefined-local-with-import-star/,F403,undefined-local-with-import-star,<code>from {name} import *</code> used; unable to detect undefined names,Rule is stable,Automatic fix not available,"What it does#
Checks for the use of wildcard imports.
","Why is this bad?#
Wildcard imports (e.g., from module import *) make it hard to determine
which symbols are available in the current namespace, and from which module
they were imported. They're also discouraged by PEP 8.
","----neg----:
from math import *


def area(radius):
    return pi * radius**2
----pos----:
from math import pi


def area(radius):
    return pi * radius**2
",,"
<h1 id=""undefined-local-with-import-star-f403"">undefined-local-with-import-star (F403)<a class=""headerlink"" href=""#undefined-local-with-import-star-f403"" title=""Permanent link"">#</a></h1>
<p>Derived from the <strong>Pyflakes</strong> linter.</p>
"
https://docs.astral.sh/ruff/rules/late-future-import/,F404,late-future-import,<code>from __future__</code> imports must occur at the beginning of the file,Rule is stable,Automatic fix not available,"What it does#
Checks for __future__ imports that are not located at the beginning of a
file.
","Why is this bad?#
Imports from __future__ must be placed the beginning of the file, before any
other statements (apart from docstrings). The use of __future__ imports
elsewhere is invalid and will result in a SyntaxError.
","----neg----:
from pathlib import Path

from __future__ import annotations
----pos----:
from __future__ import annotations

from pathlib import Path
",,"
<h1 id=""late-future-import-f404"">late-future-import (F404)<a class=""headerlink"" href=""#late-future-import-f404"" title=""Permanent link"">#</a></h1>
<p>Derived from the <strong>Pyflakes</strong> linter.</p>
<h2 id=""references"">References<a class=""headerlink"" href=""#references"" title=""Permanent link"">#</a></h2>
<ul>
<li><a href=""https://docs.python.org/3/reference/simple_stmts.html#future"">Python documentation: Future statements</a></li>
</ul>
"
https://docs.astral.sh/ruff/rules/undefined-local-with-import-star-usage/,F405,undefined-local-with-import-star-usage,"<code>{name}</code> may be undefined, or defined from star imports",Rule is stable,Automatic fix not available,"What it does#
Checks for names that might be undefined, but may also be defined in a
wildcard import.
","Why is this bad?#
Wildcard imports (e.g., from module import *) make it hard to determine
which symbols are available in the current namespace. If a module contains
a wildcard import, and a name in the current namespace has not been
explicitly defined or imported, then it's unclear whether the name is
undefined or was imported by the wildcard import.
If the name is defined in via a wildcard import, that member should be
imported explicitly to avoid confusion.
If the name is not defined in a wildcard import, it should be defined or
imported.
","----neg----:
from math import *


def area(radius):
    return pi * radius**2
----pos----:
from math import pi


def area(radius):
    return pi * radius**2
",,"
<h1 id=""undefined-local-with-import-star-usage-f405"">undefined-local-with-import-star-usage (F405)<a class=""headerlink"" href=""#undefined-local-with-import-star-usage-f405"" title=""Permanent link"">#</a></h1>
<p>Derived from the <strong>Pyflakes</strong> linter.</p>
"
https://docs.astral.sh/ruff/rules/undefined-local-with-nested-import-star-usage/,F406,undefined-local-with-nested-import-star-usage,<code>from {name} import *</code> only allowed at module level,Rule is stable,Automatic fix not available,"What it does#
Check for the use of wildcard imports outside of the module namespace.
","Why is this bad?#
The use of wildcard imports outside of the module namespace (e.g., within
functions) can lead to confusion, as the import can shadow local variables.
Though wildcard imports are discouraged by PEP 8, when necessary, they
should be placed in the module namespace (i.e., at the top-level of a
module).
","----neg----:
def foo():
    from math import *
----pos----:
from math import *


def foo():
    ...
",,"
<h1 id=""undefined-local-with-nested-import-star-usage-f406"">undefined-local-with-nested-import-star-usage (F406)<a class=""headerlink"" href=""#undefined-local-with-nested-import-star-usage-f406"" title=""Permanent link"">#</a></h1>
<p>Derived from the <strong>Pyflakes</strong> linter.</p>
"
https://docs.astral.sh/ruff/rules/future-feature-not-defined/,F407,future-feature-not-defined,Future feature <code>{name}</code> is not defined,Rule is stable,Automatic fix not available,"What it does#
Checks for __future__ imports that are not defined in the current Python
version.
","Why is this bad?#
Importing undefined or unsupported members from the __future__ module is
a SyntaxError.
",,,"
<h1 id=""future-feature-not-defined-f407"">future-feature-not-defined (F407)<a class=""headerlink"" href=""#future-feature-not-defined-f407"" title=""Permanent link"">#</a></h1>
<p>Derived from the <strong>Pyflakes</strong> linter.</p>
<h2 id=""references"">References<a class=""headerlink"" href=""#references"" title=""Permanent link"">#</a></h2>
<ul>
<li><a href=""https://docs.python.org/3/library/__future__.html"">Python documentation: <code>__future__</code></a></li>
</ul>
"
https://docs.astral.sh/ruff/rules/percent-format-invalid-format/,F501,percent-format-invalid-format,<code>%</code>-format string has invalid format string: {message},Rule is stable,Automatic fix not available,"What it does#
Checks for invalid printf-style format strings.
","Why is this bad?#
Conversion specifiers are required for printf-style format strings. These
specifiers must contain a % character followed by a conversion type.
","----neg----:
""Hello, %"" % ""world""
----pos----:
""Hello, %s"" % ""world""
",,"
<h1 id=""percent-format-invalid-format-f501"">percent-format-invalid-format (F501)<a class=""headerlink"" href=""#percent-format-invalid-format-f501"" title=""Permanent link"">#</a></h1>
<p>Derived from the <strong>Pyflakes</strong> linter.</p>
<h2 id=""references"">References<a class=""headerlink"" href=""#references"" title=""Permanent link"">#</a></h2>
<ul>
<li><a href=""https://docs.python.org/3/library/stdtypes.html#printf-style-string-formatting"">Python documentation: <code>printf</code>-style String Formatting</a></li>
</ul>
"
https://docs.astral.sh/ruff/rules/percent-format-expected-mapping/,F502,percent-format-expected-mapping,<code>%</code>-format string expected mapping but got sequence,Rule is stable,Automatic fix not available,"What it does#
Checks for named placeholders in printf-style format strings without
mapping-type values.
","Why is this bad?#
When using named placeholders in printf-style format strings, the values
must be a map type (such as a dictionary). Otherwise, the expression will
raise a TypeError.
","----neg----:
""%(greeting)s, %(name)s"" % (""Hello"", ""World"")
----pos----:
""%(greeting)s, %(name)s"" % {""greeting"": ""Hello"", ""name"": ""World""}
----other----:
Or:
""%s, %s"" % (""Hello"", ""World"")

",,"
<h1 id=""percent-format-expected-mapping-f502"">percent-format-expected-mapping (F502)<a class=""headerlink"" href=""#percent-format-expected-mapping-f502"" title=""Permanent link"">#</a></h1>
<p>Derived from the <strong>Pyflakes</strong> linter.</p>
<h2 id=""references"">References<a class=""headerlink"" href=""#references"" title=""Permanent link"">#</a></h2>
<ul>
<li><a href=""https://docs.python.org/3/library/stdtypes.html#printf-style-string-formatting"">Python documentation: <code>printf</code>-style String Formatting</a></li>
</ul>
"
https://docs.astral.sh/ruff/rules/percent-format-expected-sequence/,F503,percent-format-expected-sequence,<code>%</code>-format string expected sequence but got mapping,Rule is stable,Automatic fix not available,"What it does#
Checks for uses of mapping-type values in printf-style format strings
without named placeholders.
","Why is this bad?#
When using mapping-type values (such as dict) in printf-style format
strings, the keys must be named. Otherwise, the expression will raise a
TypeError.
","----neg----:
""%s, %s"" % {""greeting"": ""Hello"", ""name"": ""World""}
----pos----:
""%(greeting)s, %(name)s"" % {""greeting"": ""Hello"", ""name"": ""World""}
----other----:
Or:
""%s, %s"" % (""Hello"", ""World"")

",,"
<h1 id=""percent-format-expected-sequence-f503"">percent-format-expected-sequence (F503)<a class=""headerlink"" href=""#percent-format-expected-sequence-f503"" title=""Permanent link"">#</a></h1>
<p>Derived from the <strong>Pyflakes</strong> linter.</p>
<h2 id=""references"">References<a class=""headerlink"" href=""#references"" title=""Permanent link"">#</a></h2>
<ul>
<li><a href=""https://docs.python.org/3/library/stdtypes.html#printf-style-string-formatting"">Python documentation: <code>printf</code>-style String Formatting</a></li>
</ul>
"
