baseline,failed_cnt,m_recall,m_precision,m_accuracy,on_recall,on_precision,on_accuracy,ov_recall,ov_precision,ov_accuracy,m_rule_accuracy,on_rule_accuracy,ov_rule_accuracy
GPT3.5_empty,3,0.36065573770491804,0.3055555555555556,0.1981981981981982,0.08196721311475409,0.06944444444444445,0.0390625,0.01639344262295082,0.013888888888888888,0.007575757575757576,16,1,0
GPT3.5_name,1,0.42028985507246375,0.32222222222222224,0.2230769230769231,0.08695652173913043,0.06666666666666667,0.0392156862745098,0.057971014492753624,0.044444444444444446,0.025806451612903226,18,3,3
GPT3.5_name_sdesc,1,0.43478260869565216,0.24,0.18292682926829268,0.07246376811594203,0.04,0.026455026455026454,0.057971014492753624,0.032,0.021052631578947368,19,3,2
GPT3.5_name_sdesc_mopt,0,0.352112676056338,0.14285714285714285,0.11312217194570136,0.11267605633802817,0.045714285714285714,0.03361344537815126,0.04225352112676056,0.017142857142857144,0.012345679012345678,10,3,1
GPT3.5_name_url,4,0.4788732394366197,0.4146341463414634,0.2857142857142857,0.09859154929577464,0.08536585365853659,0.04794520547945205,0.07042253521126761,0.06097560975609756,0.033783783783783786,22,5,5
GPT3.5_name_url_sdesc,1,0.4788732394366197,0.4,0.2786885245901639,0.15492957746478872,0.12941176470588237,0.07586206896551724,0.056338028169014086,0.047058823529411764,0.02631578947368421,22,5,1
GPT4o_empty,1,0.5692307692307692,0.2824427480916031,0.23270440251572327,0.13846153846153847,0.06870229007633588,0.0481283422459893,0.03076923076923077,0.015267175572519083,0.010309278350515464,15,2,0
GPT4o_name,3,0.7887323943661971,0.1691842900302115,0.16184971098265896,0.2535211267605634,0.054380664652567974,0.046875,0.04225352112676056,0.00906344410876133,0.007518796992481203,23,5,2
GPT4o_name_sdesc,2,0.7323943661971831,0.1640378548895899,0.15476190476190477,0.28169014084507044,0.06309148264984227,0.05434782608695652,0.09859154929577464,0.022082018927444796,0.01837270341207349,22,8,6
GPT4o_name_sdesc_mopt,3,0.7605633802816901,0.4778761061946903,0.4153846153846154,0.352112676056338,0.22123893805309736,0.15723270440251572,0.14084507042253522,0.08849557522123894,0.05747126436781609,26,11,7
GPT4o_name_url,2,0.7746478873239436,0.08017492711370262,0.07834757834757834,0.22535211267605634,0.023323615160349854,0.021592442645074223,0.07042253521126761,0.007288629737609329,0.006648936170212766,26,6,3
GPT4o_name_url_sdesc,2,0.7464788732394366,0.15273775216138327,0.14520547945205478,0.29577464788732394,0.06051873198847262,0.05289672544080604,0.09859154929577464,0.020172910662824207,0.0170316301703163,28,8,4
